observer_summit_id,observer_latitude,observer_longitude,observer_elevation,target_summit_id,target_latitude,target_longitude,target_elevation,distance,contrast
691882,25.9456,95.0769,3432.29,37113,29.4678,96.0489,5799.69,403163,0.0438
691882,25.9456,95.0769,3432.29,48446,29.5508,95.0078,5709.17,400937,0.0369
691882,25.9456,95.0769,3432.29,56230,29.4767,96.0842,5658.07,404960,0.042
692829,26.9997,97.2133,3428.42,1326,28.1767,92.7672,6619.64,457263,0.0869
692829,26.9997,97.2133,3428.42,4688,28.1725,92.6747,6316.17,465881,0.0754
692829,26.9997,97.2133,3428.42,7583,28.2006,92.8828,6208.8,447103,0.0881
692829,26.9997,97.2133,3428.42,177907,28.5322,93.3031,5172.73,420746,0.0848
701409,26.0739,95.1855,3392.76,281,29.8186,94.9608,7144.14,416975,0.0406
701409,26.0739,95.1855,3392.76,5228,29.6178,96.0558,6292.68,403241,0.0464
711941,27.0397,96.875,3349.98,370,27.8725,92.5297,7029.02,438610,0.1175
711941,27.0397,96.875,3349.98,512,27.9372,92.6664,6913.09,426942,0.1256
711941,27.0397,96.875,3349.98,602,28.0619,92.6636,6853.93,430431,0.1178
711941,27.0397,96.875,3349.98,612,27.91,92.6264,6848.49,430139,0.1217
711941,27.0397,96.875,3349.98,1326,28.1767,92.7672,6619.64,424014,0.1166
711941,27.0397,96.875,3349.98,4688,28.1725,92.6747,6316.17,432592,0.1031
711941,27.0397,96.875,3349.98,5982,27.8772,92.6233,6261.86,429693,0.1116
711941,27.0397,96.875,3349.98,7583,28.2006,92.8828,6208.8,413937,0.1179
711941,27.0397,96.875,3349.98,30672,28.3686,92.8339,5860.02,424360,0.0974
711941,27.0397,96.875,3349.98,42787,28.2628,92.9583,5752.09,409019,0.1122
724279,27.0919,97.1386,3301.54,370,27.8725,92.5297,7029.02,462833,0.0946
724279,27.0919,97.1386,3301.54,612,27.91,92.6264,6848.49,454210,0.0987
724279,27.0919,97.1386,3301.54,42787,28.2628,92.9583,5752.09,431709,0.0925
724279,27.0919,97.1386,3301.54,209463,28.33,93.2197,5077.64,409582,0.0984
805910,25.5975,94.0664,3019.2,156,29.6392,95.0653,7354.89,460058,0.0265
805910,25.5975,94.0664,3019.2,415,29.6622,95.1344,6984.65,464049,0.0235
805910,25.5975,94.0664,3019.2,50283,29.3236,94.7489,5696.28,419756,0.0301
805910,25.5975,94.0664,3019.2,100348,29.3775,94.8172,5444.54,426787,0.0264
805910,25.5975,94.0664,3019.2,289437,27.2756,90.3778,4853.26,411915,0.0775
805910,25.5975,94.0664,3019.2,362524,28.8125,96.105,4645.54,410396,0.0383
874505,25.3569,93.8997,2838.24,289437,27.2756,90.3778,4853.26,410746,0.0697
930226,25.6428,93.9611,2722.62,156,29.6392,95.0653,7354.89,457487,0.0261
930226,25.6428,93.9611,2722.62,40193,29.3986,94.8992,5772.87,427742,0.0271
930226,25.6428,93.9611,2722.62,50283,29.3236,94.7489,5696.28,416594,0.03
930226,25.6428,93.9611,2722.62,53054,29.3653,94.9092,5677.82,424347,0.0279
930226,25.6428,93.9611,2722.62,289437,27.2756,90.3778,4853.26,400226,0.0835
930226,25.6428,93.9611,2722.62,362524,28.8125,96.105,4645.54,411261,0.0367
945688,26.1942,94.9145,2693.91,281,29.8186,94.9608,7144.14,403040,0.04
945688,26.1942,94.9145,2693.91,827,29.8325,94.8672,6750.61,404586,0.0366
945688,26.1942,94.9145,2693.91,6396,29.6542,96.0406,6245.64,400317,0.0439
947778,25.1683,93.91,2689.85,289437,27.2756,90.3778,4853.26,423107,0.056
964539,25.8236,94.5992,2660.54,156,29.6392,95.0653,7354.89,426746,0.0337
964539,25.8236,94.5992,2660.54,415,29.6622,95.1344,6984.65,430067,0.0305
964539,25.8236,94.5992,2660.54,4889,29.585,95.1047,6307.04,421196,0.0297
1003095,27.2094,96.6342,2597.3,370,27.8725,92.5297,7029.02,411320,0.1378
1003095,27.2094,96.6342,2597.3,602,28.0619,92.6636,6853.93,402440,0.1392
1003095,27.2094,96.6342,2597.3,612,27.91,92.6264,6848.49,402664,0.1428
1003095,27.2094,96.6342,2597.3,4688,28.1725,92.6747,6316.17,404267,0.1232
1003095,27.2094,96.6342,2597.3,5982,27.8772,92.6233,6261.86,402334,0.1317
1003095,27.2094,96.6342,2597.3,7450,28.1397,92.5719,6212.77,413164,0.1131
1012564,26.2175,94.8783,2582.54,281,29.8186,94.9608,7144.14,400505,0.0405
1012564,26.2175,94.8783,2582.54,827,29.8325,94.8672,6750.61,401970,0.0367
1101031,25.4392,93.9055,2462.63,289437,27.2756,90.3778,4853.26,406462,0.0701
1126159,26.0797,94.6922,2431.85,281,29.8186,94.9608,7144.14,416582,0.0336
1126159,26.0797,94.6922,2431.85,415,29.6622,95.1344,6984.65,400718,0.0408
1126159,26.0797,94.6922,2431.85,827,29.8325,94.8672,6750.61,417645,0.0303
1129835,25.5403,93.9053,2427.95,289437,27.2756,90.3778,4853.26,400782,0.0763
1180624,27.3275,96.6614,2371.0,370,27.8725,92.5297,7029.02,411606,0.136
1180624,27.3275,96.6614,2371.0,602,28.0619,92.6636,6853.93,401967,0.139
1180624,27.3275,96.6614,2371.0,612,27.91,92.6264,6848.49,402767,0.1415
1180624,27.3275,96.6614,2371.0,4688,28.1725,92.6747,6316.17,403387,0.1236
1190909,27.3289,96.7103,2359.94,370,27.8725,92.5297,7029.02,416347,0.1305
1190909,27.3289,96.7103,2359.94,512,27.9372,92.6664,6913.09,404051,0.1407
1190909,27.3289,96.7103,2359.94,602,28.0619,92.6636,6853.93,406648,0.1336
1190909,27.3289,96.7103,2359.94,612,27.91,92.6264,6848.49,407495,0.136
1190909,27.3289,96.7103,2359.94,5982,27.8772,92.6233,6261.86,407294,0.1248
1222084,25.8417,94.4622,2328.26,156,29.6392,95.0653,7354.89,426410,0.0323
1222084,25.8417,94.4622,2328.26,281,29.8186,94.9608,7144.14,444918,0.0239
1453569,26.1642,94.6067,2127.65,6180,29.4308,96.3625,6254.2,402178,0.0449
1519777,25.2744,93.4703,2079.86,97,28.0475,90.4544,7501.17,429960,0.0585
