latitude,longitude,elevation,isolation,summit_name,wikipedia
-15.3625,166.755,1879.09,917154.0,Mount Tabwemasana,
-25.2508,-48.8,1876.96,381578.0,Pico Paraná,en:Pico Paraná
-80.6558,-24.6733,1875.13,214314.0,,
-13.345,29.6117,1874.82,481001.0,Mount Mumpu,en:Mount Mumpu
-11.5233,31.5917,1870.86,207864.0,,
32.7592,-16.9433,1862.02,449832.0,Pico Ruivo,pt:Pico Ruivo
-27.8875,23.5608,1861.72,356975.0,,
-13.6183,-172.4867,1858.06,2245197.0,Mauga Silisili,en:Silisili
-49.595,69.4967,1850.14,477047.0,Mont Ross,fr:Mont Ross
43.6958,134.1992,1849.83,420947.0,Гора Облачная,ru:Облачная (гора)
18.8983,109.7042,1840.08,403600.0,Wuzhi Shan II,
-28.125,-49.475,1826.97,325037.0,Morro da Igreja,pt:Morro da Igreja
66.025,163.2367,1816.91,448045.0,,
12.0325,104.1708,1812.95,420307.0,Phnom Aural,
51.8842,-178.1425,1805.94,655296.0,Tanaga,
67.5392,168.1383,1780.95,270921.0,г. Двух Цирков,
8.4942,99.7292,1780.03,357988.0,เขาหลวง,
45.4725,114.5892,1764.79,286857.0,,
17.1625,54.8533,1759.92,567190.0,,
9.9342,9.0342,1751.99,374231.0,,
7.6225,-8.4083,1751.99,346521.0,Nimba,
-17.1942,30.6892,1748.94,174362.0,,
80.4325,-19.6858,1744.07,232816.0,,
47.0575,120.5217,1740.71,295792.0,,
-11.1133,26.3917,1734.92,179959.0,,
24.6492,72.775,1722.12,615120.0,,
79.0108,17.4908,1712.98,743704.0,Newtontoppen,en:Newtontoppen
0.0425,-91.3342,1706.88,1319238.0,Volcán Wolf,de:Wolf (Vulkan)
69.13,94.9375,1701.09,1300561.0,,
59.3242,114.4233,1697.74,167224.0,,
-13.9925,-47.4875,1691.03,520290.0,,
18.2275,82.725,1680.06,907300.0,Arma Konda,
58.8875,-63.71,1652.02,791472.0,Mount Caubvick,en:Mount Caubvick
-33.7808,-80.815,1649.88,898096.0,,
19.6,73.7108,1645.92,567282.0,Kalasubai peak,en:Kalsubai
-68.835,-90.6175,1640.13,747990.0,,
54.255,58.105,1638.0,1150764.0,Mount Yamantau,ru:Ямантау
-12.0267,23.5667,1638.0,283677.0,,
-20.5883,164.77,1627.94,605941.0,Mont Panié,fr:Mont Panié
-17.3992,145.8183,1622.15,882446.0,Mount Bartle Frere Summit (South Peak),
-41.8708,146.0333,1616.96,488830.0,Mount Ossa,
-20.6333,30.315,1609.95,242921.0,Bunwa,
45.9042,-68.9217,1605.69,254883.0,Baxter Peak,
50.7358,15.7392,1602.94,290336.0,Śnieżka / Sněžka,pl:Śnieżka
-73.575,-94.0592,1601.72,469604.0,,
11.9033,18.1908,1600.81,633999.0,Mont Guerra,
22.0583,-159.4975,1598.07,327436.0,Kawaikini,
-32.0025,151.4475,1596.85,450482.0,Brumlow Top,en:Brumlow Top
