latitude,longitude,elevation,prominence,summit_name,wikipedia
43.6636,142.8542,2287.95,2287.95,Asahi-dake,ja:旭岳
71.0819,-8.1767,2262.19,2262.19,Beerenberg,no:Beerenberg
1.8197,115.2725,2245.61,1579.72,Batu Jumak,
32.9117,-0.4675,2236.39,975.14,Djebel Aïssa,ar:جبل عيسى
-36.4561,148.2636,2226.46,2226.46,Mount Kosciuszko,en:Mount Kosciuszko
66.7706,-65.1583,2216.91,2216.91,Tête Blanche,
-70.1944,64.8,2208.16,439.35,,
-27.18,18.7286,2196.24,1218.91,Lord Hill,de:Schroffenstein
4.6328,102.2344,2182.17,2127.22,Gunung Tahan,ms:Gunung Tahan
64.2175,133.5594,2179.41,1323.12,,
66.0394,-52.2544,2175.01,1476.0,Naparutaq,
-67.3731,164.7556,2171.67,2171.67,,
27.8603,117.7833,2156.67,1952.91,Huanggang Shan,zh:黄岗山
14.6731,48.7808,2144.98,883.54,,
-19.6153,17.6203,2142.59,654.23,Otaviberge,
-84.8553,-65.0333,2126.92,578.15,,
25.8667,110.4128,2121.63,1631.26,Mao'er Shan,zh:猫儿山_(桂林市)
16.1714,99.0367,2117.6,1323.48,Khao Kacheu La,
26.3133,114.04,2116.41,1895.18,Nanfengmian,
11.3264,49.7486,2107.06,1584.83,Karkoor,
64.0139,-16.6783,2091.51,2091.51,Hvannadalshnúkur,is:Hvannadalshnúkur
67.9008,18.5172,2088.27,1723.23,Pre-melting Kebnekaise - Sydtoppen,
-24.4706,27.5892,2084.12,1012.95,Marakele National Park High Point,
53.1264,-168.6953,2080.47,2080.47,Mount Vsevidof,en:Mount Vsevidof
-17.1997,13.0208,2068.13,816.73,Omavanda,
-25.2706,15.7547,2059.21,1003.55,Chowagasberg,
42.6156,117.7958,2050.75,703.62,大光顶子山,
13.4667,98.805,2050.69,1833.9,Myinmoletkat Taung,en:Myinmoletkat Taung
-37.1117,-12.2889,2040.09,2040.09,Queen Mary's Peak,en:Queen Mary's Peak
-66.7003,54.84,2039.64,566.11,,
35.7649,-82.2651,2037.28,1860.5,Mount Mitchell,en:Mount Mitchell
-83.3819,-51.3833,2035.98,773.65,Mount Stephens,
-13.2967,-41.9075,2030.42,1394.35,Serra do Barbado,
15.3086,26.5497,2008.58,1105.93,Jabal Ubbor,
47.1164,136.5683,2001.66,1193.87,Gora Ko,ru:Ко (гора)
17.8392,8.7206,2001.37,1305.88,Mont Idoukal-n-Taghès,
0.2692,6.5417,1976.36,1976.36,Pico de São Tomé,en:Pico_de_São_Tomé
-24.6153,46.7042,1971.2,1255.81,Pic d'Andohahela,
33.8544,134.0947,1951.6,1951.6,Tsurugi-san,
83.3183,-33.2,1945.82,1804.81,Sifs Tinde,
73.23,-78.6233,1938.94,1938.94,Angilaaq Mountain,
9.2275,-11.115,1931.59,1652.32,Loma Mansa,en:Mount_Bintumani
30.3361,130.5042,1926.95,1926.95,Miyanoura-dake,
33.3617,126.5358,1924.52,1924.52,Halla-san - East Summit,en:Hallasan
44.2705,-71.3034,1916.58,1876.96,Mount Washington,en:Mount Washington
-8.8611,27.0653,1908.48,769.89,,
-80.6578,-24.6667,1894.42,471.33,Holmes Summit,
21.9158,24.9997,1891.49,1262.51,Jabal Uweinat,
-13.3439,29.6103,1891.0,620.08,Mumpu-Velume,en:Mount Mumpu
65.035,60.1139,1889.28,1764.45,Gora Narodnaya,ru:Народная (гора)
-15.3631,166.7545,1879.71,1879.71,Tabwémasana,
67.8169,178.2939,1878.68,1482.42,Chantalskiy Khrebet High Point,
-2.7106,115.6258,1865.1,1765.35,Besar,id:Gunung Halau-halau
-13.6186,-172.4869,1862.82,1862.82,Mauga Silisili,en:Silisili
70.7994,-71.6508,1858.08,1577.28,Kisimngiuqtuq Peak,
-27.8858,23.5631,1854.78,543.55,Gakarosa,
43.695,134.1994,1853.72,1432.08,Gora Oblachnaya,ru:Облачная (гора)
-25.2411,-48.8297,1852.88,1108.49,Pico Caratuva,
32.7589,-16.9428,1851.15,1851.15,Pico Ruivo,pt:Pico Ruivo
17.1625,54.8542,1848.96,1041.6,Jabal Samhan,
-17.6097,-149.4953,1836.48,1836.48,Mont Aorai,
-27.9097,-49.3219,1822.59,1016.9,Morro da Boa Vista,
18.8994,109.7044,1817.12,1817.12,Wuzhi Shan,
66.0247,163.2383,1812.03,1304.92,Pik 1816,
12.0328,104.1711,1808.19,1741.73,Phnom Aoral,
51.8831,-178.1442,1797.2,1797.2,Tanaga Volcano,
-9.2442,27.8183,1789.6,613.65,,
63.645,-50.3989,1786.54,772.86,,
8.4942,99.7294,1784.74,1720.2,Khao Luang,
67.5389,168.1383,1779.59,1252.95,г. Двух Цирков,
45.4725,114.5892,1777.23,688.74,,
9.9342,9.0344,1766.46,1314.69,Shere Hills,
7.6219,-8.4083,1755.34,1297.16,Mont Richard-Molard - North Peak,
-17.195,30.6883,1747.78,316.54,,
47.0578,120.5219,1747.47,804.26,North Khingan High Point,
-11.1133,26.3914,1738.13,462.3,,
80.4328,-19.6903,1724.39,1668.37,Prinsesse Caroline-Mathilde Alper High Point,
59.3242,114.4233,1715.85,797.22,,
24.65,72.7769,1715.02,1388.48,Guru Sikhar,
79.0106,17.4917,1704.82,1704.82,Newtontoppen,en:Newtontoppen
0.0425,-91.335,1704.57,1704.57,Volcán Wolf,de:Wolf (Vulkan)
-73.6525,-94.095,1681.61,515.48,,
69.1264,95.3117,1679.08,1389.23,Gora Kamen,
18.2281,82.7228,1679.06,1304.15,Arma Konda,
-13.9522,-47.5208,1672.15,906.57,,
-49.5942,69.4939,1664.53,1664.53,Grand Ross,fr:Mont Ross
-68.8275,-90.6317,1639.08,1639.08,Lars Christensentoppen,en:Lars Christensen Peak
54.255,58.1042,1638.01,1332.53,Gora Yamantau,ru:Ямантау
-20.5886,164.7708,1627.66,1627.66,Mont Panié,fr:Mont Panié
-20.6217,29.9033,1627.06,546.14,,
-17.3994,145.8181,1613.85,1322.1,Bartle Frere,
-41.8711,146.0333,1609.81,1609.81,Mount Ossa,
45.9044,-68.9214,1605.69,1310.34,Katahdin,
11.9033,18.1908,1603.62,1145.03,Mont du Guera,
50.7361,15.7397,1603.35,1197.68,Sněžka,pl:Śnieżka
-32.0031,151.4469,1599.25,1115.05,Brumlow Top,en:Brumlow Top
19.6014,73.7089,1599.15,1032.32,Kalsubai,en:Kalsubai
22.0586,-159.4975,1598.68,1598.68,Kawaikini,
58.9444,-63.79,1593.36,1355.36,Torngarsoak Mountain,
-30.4378,152.2403,1583.65,740.19,Round Mountain,en:Round Mountain (Northern Tablelands)
-41.5331,147.6589,1571.12,1299.03,Legges Tor,
59.6319,59.1347,1563.81,1170.72,Gora Kanzhakovskiy Kamen,
48.4236,75.4714,1561.64,855.02,Gora Aksoran,
-16.2828,28.1236,1550.73,483.83,Mabwe Tuba,
-14.7339,26.8431,1548.33,399.91,,
27.5097,41.5486,1539.36,472.37,,
75.1758,57.825,1539.08,1539.08,Novaya Zemlya High Point,
