id,latitude,longitude,elevation,MHD
685.0,67.725,33.475,1200.36,133583.5
686.0,-8.16,-36.3925,1198.78,133495.6
687.0,20.5258,31.5283,1198.78,133495.6
688.0,53.6461,-58.5542,1194.12,133235.9
689.0,-23.1017,134.9033,1193.9,133223.6
690.0,28.1942,13.9767,1189.02,132951.0
691.0,64.855,-173.4367,1188.72,132934.3
692.0,64.8558,-173.4339,1188.16,132903.0
693.0,21.6483,86.3589,1186.32,132800.0
694.0,53.6467,-58.5525,1185.98,132781.0
695.0,22.9936,81.6544,1182.89,132607.9
696.0,21.6483,86.3592,1180.8,132490.7
697.0,22.9917,81.655,1172.87,132045.0
698.0,-31.5033,138.5508,1167.99,131770.1
699.0,-37.3417,142.5767,1167.08,131718.7
700.0,-0.1958,104.55,1164.95,131598.5
701.0,-37.2931,142.6014,1163.92,131540.3
702.0,1.5283,-59.2394,1160.33,131337.3
703.0,-31.5039,138.5519,1158.64,131241.6
704.0,15.2567,-1.6683,1154.89,131029.0
705.0,-4.7825,-40.1325,1153.97,130976.8
706.0,-59.0403,-26.5325,1153.01,130922.3
707.0,75.8975,107.7075,1151.13,130815.5
708.0,15.2606,-1.6644,1149.7,130734.3
709.0,52.3219,-70.4458,1147.61,130615.4
710.0,75.5633,111.0692,1146.05,130526.6
711.0,-77.6244,-153.6858,1145.57,130499.2
712.0,21.5275,70.5275,1145.13,130474.2
713.0,-4.7664,-40.1314,1141.48,130266.1
714.0,52.3217,-70.4458,1139.95,130178.7
715.0,21.985,-80.1325,1139.95,130178.7
716.0,1.5283,-59.2392,1137.82,130057.1
717.0,36.175,120.6267,1132.94,129777.9
718.0,15.06,30.4153,1130.28,129625.4
719.0,21.9897,-80.1475,1130.27,129624.9
720.0,28.2003,13.9703,1128.45,129520.4
721.0,15.06,30.415,1126.85,129428.6
722.0,59.8247,92.8539,1126.5,129408.5
723.0,-10.8325,-63.5775,1125.93,129375.7
724.0,48.6444,66.9453,1124.18,129275.2
725.0,59.825,92.8542,1123.8,129253.3
726.0,31.225,38.5322,1117.94,128915.9
727.0,48.6442,66.9458,1116.79,128849.6
728.0,-10.8319,-63.5775,1115.24,128760.1
729.0,-0.1964,104.5503,1113.24,128644.6
730.0,31.225,38.5317,1112.82,128620.3
731.0,-4.2083,-38.9747,1111.4,128538.2
732.0,36.1753,120.6261,1109.73,128441.6
733.0,-19.6683,-175.0158,1108.86,128391.3
734.0,51.5308,-68.0767,1103.99,128109.0
735.0,51.5311,-68.0769,1103.33,128070.7
736.0,-77.6308,-153.6808,1097.89,127754.6
737.0,-34.375,118.2558,1095.15,127595.1
738.0,-46.4208,52.2275,1089.96,127292.4
739.0,27.3233,17.2136,1085.98,127059.8
740.0,53.0683,-4.0758,1085.09,127007.7
741.0,-19.6092,169.4017,1083.87,126936.3
742.0,-19.5767,169.3883,1082.66,126865.4
743.0,27.3225,17.2133,1079.91,126704.2
744.0,-19.6033,144.0553,1077.13,126541.0
745.0,53.0686,-4.0761,1074.5,126386.4
746.0,-19.6042,144.055,1072.9,126292.3
747.0,0.9553,13.6858,1071.8,126227.5
748.0,0.9558,13.6858,1069.85,126112.6
749.0,-46.4178,52.2472,1065.5,125856.0
750.0,-19.2017,-57.5933,1064.97,125824.7
751.0,-34.3761,118.2553,1061.43,125615.4
752.0,21.5278,70.5292,1061.11,125596.5
753.0,-19.2014,-57.5925,1059.09,125476.8
754.0,18.7925,-110.9733,1050.04,124939.6
755.0,27.6583,75.3922,1048.51,124848.5
756.0,-17.2367,-51.7767,1047.9,124812.2
757.0,-17.7844,-48.6867,1043.4,124543.9
758.0,-17.2372,-51.7761,1042.56,124493.8
759.0,50.9794,-65.4892,1042.34,124480.7
760.0,18.7906,-110.9758,1042.01,124461.0
761.0,27.6583,75.3925,1040.89,124394.0
762.0,51.9992,-9.7425,1039.06,124284.6
763.0,-1.6164,11.765,1038.58,124255.9
764.0,51.9992,-9.7428,1032.9,123915.7
765.0,-1.6167,11.765,1031.75,123846.7
766.0,-19.6681,-175.0161,1030.62,123778.9
767.0,59.1925,-115.5917,1006.14,122300.0
768.0,3.9761,108.3361,1000.99,121986.6
769.0,59.1906,-115.5994,1000.92,121982.3
770.0,7.0858,0.6625,996.51,121713.3
771.0,76.3461,65.0033,990.72,121359.2
772.0,7.3292,0.7092,989.99,121314.5
773.0,3.9758,108.3358,983.89,120940.1
774.0,55.9817,100.9783,982.64,120863.3
775.0,-17.4361,127.2364,982.52,120855.9
776.0,-17.4358,127.2367,982.07,120828.2
777.0,-74.8019,-99.2358,981.63,120801.2
778.0,3.715,13.745,977.8,120565.3
779.0,-79.59,-45.815,975.06,120396.2
780.0,55.9817,100.9783,973.84,120320.9
781.0,18.7675,145.6675,969.87,120075.4
782.0,52.8933,172.9808,966.82,119886.4
783.0,-24.3564,150.9395,965.73,119818.8
784.0,31.975,13.3197,965.18,119784.7
785.0,79.5892,99.15,965.0,119773.5
786.0,-24.3567,150.9392,960.12,119470.3
787.0,31.9758,13.32,959.82,119451.6
788.0,18.7683,145.675,959.11,119407.4
789.0,79.5903,99.1492,956.23,119228.0
790.0,20.895,3.7633,955.85,119204.3
791.0,18.3364,32.7403,955.64,119191.2
792.0,66.7317,109.3892,944.88,118518.3
793.0,-15.8719,-57.2175,943.65,118441.2
794.0,66.7311,109.39,942.46,118366.5
