latitude,longitude,elevation,summit_name,wikipedia
32.9117,-0.4675,2236.39,Djebel Aïssa,ar:جبل عيسى
-36.4558,148.2633,2228.09,Mount Kosciuszko,en:Mount Kosciuszko
66.7706,-65.1583,2216.91,Tête Blanche,
-70.1944,64.8,2208.16,,
-27.1808,18.7292,2201.88,Lord Hill,de:Schroffenstein
66.0383,-52.255,2191.82,Naparutaq,
4.6325,102.235,2189.99,Gunung Tahan,ms:Gunung Tahan
64.2175,133.5594,2179.41,,
-67.3731,164.7556,2171.67,,
27.8608,117.7842,2169.87,Huanggang Shan,zh:黄岗山
-82.6233,-52.8125,2150.06,,
53.1258,-168.6942,2149.14,Mount Vsevidof,en:Mount Vsevidof
14.6731,48.7808,2144.98,,
-19.6153,17.6203,2142.59,Otaviberge,
26.3133,114.0367,2140.0,Nanfengmian,
-24.4708,27.5925,2134.82,Marakele National Park High Point,
25.8667,110.4128,2121.63,Mao'er Shan,zh:猫儿山_(桂林市)
11.3258,49.7483,2119.88,Karkoor,
16.1714,99.0367,2117.6,Khao Kacheu La,
64.0142,-16.6775,2110.13,Hvannadalshnúkur,is:Hvannadalshnúkur
67.9008,18.5167,2105.86,Pre-melting Kebnekaise - Sydtoppen,
13.4667,98.805,2072.03,Myinmoletkat Taung,en:Myinmoletkat Taung
-17.2008,13.0208,2068.98,Omavanda,
-37.1117,-12.2892,2060.14,Queen Mary's Peak,en:Queen Mary's Peak
-25.2706,15.7547,2059.21,Chowagasberg,
42.615,117.7958,2053.74,大光顶子山,
35.765,-82.265,2037.28,Mount Mitchell,en:Mount Mitchell
-13.2967,-41.9075,2033.02,Serra do Barbado,
0.2692,6.5417,2023.87,Pico de São Tomé,en:Pico_de_São_Tomé
17.8383,8.72,2022.04,Mont Idoukal-n-Taghès,
15.3083,26.5492,2009.85,Jabal Ubbor,
47.1158,136.5683,2004.06,Gora Ko,ru:Ко (гора)
33.7675,133.1158,1982.11,Ishizuchi-san,
-24.6153,46.7042,1971.2,Pic d'Andohahela,
33.3617,126.5292,1950.11,Halla-san - East Summit,en:Hallasan
83.3183,-33.2,1945.82,Sifs Tinde,
9.2283,-11.1142,1944.93,Loma Mansa,en:Mount_Bintumani
73.23,-78.6233,1944.01,Angilaaq Mountain,
30.3358,130.5042,1936.09,Miyanoura-dake,
21.9158,25.0,1933.96,Jabal Uweinat,
44.2705,-71.3034,1916.58,Mount Washington,en:Mount Washington
-8.8608,27.0642,1909.88,,
70.7992,-71.65,1905.0,Kisimngiuqtuq Peak,
65.035,60.1142,1894.94,Gora Narodnaya,ru:Народная (гора)
-80.6578,-24.6667,1894.42,Holmes Summit,
-2.7133,115.6258,1891.89,Besar,id:Gunung Halau-halau
-13.3439,29.6103,1891.0,Mumpu-Velume,en:Mount Mumpu
67.8175,178.2942,1887.93,Chantalskiy Khrebet High Point,
-15.3631,166.7545,1879.71,Tabwémasana,
-25.2508,-48.8,1876.96,Pico Caratuva,en:Pico Paraná
-11.5233,31.5917,1870.86,,
-13.6186,-172.4869,1862.82,Mauga Silisili,en:Silisili
32.7592,-16.9433,1862.02,Pico Ruivo,pt:Pico Ruivo
-27.8875,23.5608,1861.72,Gakarosa,
43.695,134.1994,1853.72,Gora Oblachnaya,ru:Облачная (гора)
-49.595,69.4967,1850.14,Grand Ross,fr:Mont Ross
17.1625,54.8542,1848.96,Jabal Samhan,
18.8983,109.7042,1840.08,Wuzhi Shan,
-28.125,-49.475,1826.97,Morro da Igreja,pt:Morro da Igreja
66.025,163.2367,1816.91,Pik 1816,
12.0325,104.1708,1812.95,Phnom Aoral,
51.8842,-178.1425,1805.94,Tanaga Volcano,
-9.2442,27.8183,1789.6,,
63.645,-50.3989,1786.54,,
8.4942,99.7294,1784.74,Khao Luang,
67.5392,168.1383,1780.95,г. Двух Цирков,
45.4725,114.5892,1777.23,,
9.9342,9.0344,1766.46,Shere Hills,
7.6219,-8.4083,1755.34,Mont Richard-Molard - North Peak,
-17.1942,30.6892,1748.94,,
47.0578,120.5219,1747.47,North Khingan High Point,
80.4325,-19.6858,1744.07,Prinsesse Caroline-Mathilde Alper High Point,
-11.1133,26.3914,1738.13,,
24.6492,72.775,1722.12,Guru Sikhar,
59.3242,114.4233,1715.85,,
79.0108,17.4908,1712.98,Newtontoppen,en:Newtontoppen
0.0425,-91.3342,1706.88,Volcán Wolf,de:Wolf (Vulkan)
69.13,94.9375,1701.09,Gora Kamen,
-13.9925,-47.4875,1691.03,,
-73.6525,-94.095,1681.61,,
18.2275,82.725,1680.06,Arma Konda,
58.8875,-63.71,1652.02,Mount Caubvick,en:Mount Caubvick
-33.7808,-80.815,1649.88,,
19.6,73.7108,1645.92,Kalsubai,en:Kalsubai
-68.835,-90.6175,1640.13,Lars Christensentoppen,
54.255,58.1042,1638.01,Gora Yamantau,ru:Ямантау
-12.0267,23.5667,1638.0,,
-20.5883,164.77,1627.94,Mont Panié,fr:Mont Panié
-20.6217,29.9033,1627.06,,
-17.3992,145.8183,1622.15,Bartle Frere,
-41.8708,146.0333,1616.96,Mount Ossa,
45.9042,-68.9217,1605.69,Katahdin,
11.9033,18.1908,1603.62,Mont du Guera,
50.7361,15.7397,1603.35,Sněžka,pl:Śnieżka
-32.0031,151.4469,1599.25,Brumlow Top,en:Brumlow Top
22.0586,-159.4975,1598.68,Kawaikini,
-30.4375,152.24,1585.87,Round Mountain,en:Round Mountain (Northern Tablelands)
-41.5331,147.6589,1571.12,Legges Tor,
59.6317,59.135,1570.02,Gora Kanzhakovskiy Kamen,
48.4236,75.4714,1561.64,Gora Aksoran,
-16.2828,28.1236,1550.73,Mabwe Tuba,
75.1667,57.8167,1548.99,Novaya Zemlya High Point,
-14.7339,26.8431,1548.33,,
27.5097,41.5486,1539.36,,
46.8108,151.79,1538.94,Vulkan Milna,
12.1119,-12.2636,1534.25,Colline Mali,
-23.4008,132.395,1531.01,Mount Zeil,en:Mount Zeil
51.2972,123.1283,1525.42,Yilehuli Shan,
12.575,54.0222,1513.74,Mashaniq,
23.2789,44.593,1509.16,,
-20.2667,-46.4344,1507.81,,
38.7004,-79.5325,1482.55,Spruce Knob,en:Spruce Knob
76.4386,-62.2592,1477.62,Haffner Bjerg,
50.8844,118.1775,1477.46,,
10.8881,13.7806,1472.06,Hosséré Oupay,
62.9142,176.5158,1467.92,,
16.045,-61.6642,1467.0,La Grande Soufrière,
11.9828,31.0703,1458.22,Jebel Temading,
64.9925,-165.3292,1436.83,Mount Osborn,en:Mount Osborn
-26.3183,131.7442,1435.79,Ngarutjaranya,en:Mount Woodroffe
16.705,52.53,1420.13,,
24.7272,42.6739,1402.47,,
76.9192,16.1408,1399.95,Hornsundtind,
-33.3442,148.9825,1396.9,Mount Canobolas,
-66.7289,112.8333,1389.26,,
-18.7722,21.7533,1387.3,Tsodilo Hills,
29.3667,37.2397,1380.66,,
-58.4408,-26.3292,1374.95,,
-74.5358,-86.89,1371.9,,
9.1369,23.1461,1370.46,Mont Toussoro,
17.1458,22.4967,1359.9,Ennedi High Point,
22.4492,78.3717,1349.96,,en:Dhupgarh
56.7967,-5.0033,1343.86,Ben Nevis,en:Ben Nevis
-22.6325,44.1675,1342.95,,
18.1725,-66.5917,1338.07,Cerro de Punta,en:Cerro de Punta
14.3433,21.6581,1325.52,,
-17.615,178.0183,1324.05,Mount Tomanivi,
-18.12,-60.02,1320.09,Serrania de Santiago,
-60.5808,-45.4783,1294.79,Mount Nivea,
-9.81,-139.0692,1275.89,Mont Temetiu,fr:Mont Temetiu
48.9875,-65.9486,1274.93,Mont Jacques-Cartier,en:Mount Jacques-Cartier
41.9991,-74.386,1274.06,Slide Mountain,
-21.015,148.6008,1270.1,Mount William,
81.4936,-52.6292,1266.04,Rink Firn,
-24.9528,148.125,1259.17,Consuelo Tableland,
3.6825,-56.5356,1254.34,Julianatop,en:Julianatop
-22.9808,118.5875,1249.07,Mount Meharry,en:Mount Meharry
-46.9039,37.7097,1240.21,Mascarin Peak,
-38.1583,-61.9517,1239.01,Cerro Tres Picos,es:Cerro Tres Picos
23.4892,83.6117,1233.83,Guartala Hills,
-20.9308,22.5008,1231.7,,
20.5261,31.5283,1217.32,Jebel Kuror,
-23.1014,134.9036,1205.36,Mount Brassey,
67.7258,33.4733,1200.91,Gora Yudychvumchorr,ru:Юдычвумчорр
-8.16,-36.3922,1200.39,Serra da Boa Vista - Pico 1195,
53.6461,-58.5542,1194.12,Mealy Mountains High Point,
28.1942,13.9767,1189.02,,
64.855,-173.4367,1188.72,,
21.6483,86.3589,1186.32,,
22.9936,81.6544,1182.89,,
