summitId,latitude,longitude,elevation
1386965,64.2175,133.5594,2179.41
1390215,-71.0136,65.1467,2176.7
1396917,-67.3731,164.7556,2171.67
-693945,27.8608,117.7842,2169.87
-705034,-82.6233,-52.8125,2150.06
-705602,53.1258,-168.6942,2149.14
1430893,14.6731,48.7808,2144.98
1433901,-19.6153,17.6203,2142.59
-709435,25.8658,110.4133,2142.13
-710739,26.3133,114.0367,2140.0
-714136,-24.4708,27.5925,2134.82
-722995,11.3258,49.7483,2119.88
1467129,16.1714,99.0367,2117.6
-728736,64.0142,-16.6775,2110.13
-731643,67.9008,18.5167,2105.86
1516426,79.9256,-92.3075,2082.1
-752870,13.4667,98.805,2072.03
-755036,-17.2008,13.0208,2068.98
-760868,-37.1117,-12.2892,2060.14
1550100,-25.2706,15.7547,2059.21
-765146,42.615,117.7958,2053.74
1582933,35.7649,-82.2651,2037.28
-776424,35.765,-82.265,2037.28
-779227,-13.2967,-41.9075,2033.02
-785559,0.2692,6.5417,2023.87
-786770,17.8383,8.72,2022.04
-795721,15.3083,26.5492,2009.85
-799725,61.4867,155.3142,2004.97
-799929,47.1158,136.5683,2004.06
1666331,19.0136,8.6014,1983.72
-816176,33.7675,133.1158,1982.11
1686717,-24.6153,46.7042,1971.2
-838597,27.47,-112.5917,1951.02
-839395,33.3617,126.5292,1950.11
1728739,83.3183,-33.2,1945.82
-843244,9.2283,-11.1142,1944.93
-843755,73.23,-78.6233,1944.01
-849508,30.3358,130.5042,1936.09
-851679,21.9158,25.0,1933.96
-864745,44.2708,-71.3033,1916.58
1778944,44.2705,-71.3034,1916.58
-869722,-8.86,27.0667,1909.88
-869831,-8.8625,27.0675,1909.88
-870036,-8.8608,27.0642,1909.88
-869899,-8.8617,27.0683,1909.88
-873266,70.7992,-71.65,1905.0
-881566,65.035,60.1142,1894.94
1817717,-80.6578,-24.6667,1894.42
-884092,-2.7133,115.6258,1891.89
1824110,-13.3439,29.6103,1891.0
-887069,67.8175,178.2942,1887.93
1844410,-15.3631,166.7545,1879.71
-896440,-25.2508,-48.8,1876.96
-906307,30.125,118.1667,1863.85
1874187,-13.6186,-172.4869,1862.82
-907679,32.7592,-16.9433,1862.02
-908407,-27.8875,23.5608,1861.72
1890999,43.695,134.1994,1853.72
-917407,-49.595,69.4967,1850.14
1899446,17.1625,54.8542,1848.96
-922831,-78.8275,-114.5333,1843.74
-923000,-78.8542,-114.3892,1843.74
-925999,18.8983,109.7042,1840.08
-937517,-28.125,-49.475,1826.97
-946569,66.025,163.2367,1816.91
-950004,12.0325,104.1708,1812.95
-955649,51.8842,-178.1425,1805.94
2012966,-9.2442,27.8183,1789.6
2019079,63.645,-50.3989,1786.54
2022833,8.4942,99.7294,1784.74
2030442,65.3378,165.5622,1781.07
-979664,67.5392,168.1383,1780.95
2037902,45.4725,114.5892,1777.23
2060063,9.9342,9.0344,1766.46
2082983,7.6219,-8.4083,1755.34
-1010201,-17.1942,30.6892,1748.94
2099348,47.0578,120.5219,1747.47
-1014237,80.4325,-19.6858,1744.07
2118965,-11.1133,26.3914,1738.13
2137310,47.5422,120.48,1729.63
-1036496,24.6492,72.775,1722.12
2167732,59.3242,114.4233,1715.85
-1047164,79.0108,17.4908,1712.98
-1053959,0.0425,-91.3342,1706.88
-1059628,69.13,94.9375,1701.09
-1070843,-13.9925,-47.4875,1691.03
2245681,-73.6525,-94.095,1681.61
-1083359,18.2275,82.725,1680.06
-1084396,-13.4792,17.9875,1679.75
-1084731,-13.4792,17.99,1679.75
-1114559,58.8875,-63.71,1652.02
-1117868,-33.7808,-80.815,1649.88
-1122158,19.6,73.7108,1645.92
-1127940,-12.0267,23.5667,1641.0
-1128988,-68.835,-90.6175,1640.13
2350278,54.255,58.1042,1638.01
-1143702,-20.5883,164.77,1627.94
2376964,-20.6217,29.9033,1627.06
-1150318,-17.3992,145.8183,1622.15
-1157797,-41.8708,146.0333,1616.96
2410876,-21.88,166.4225,1613.62
-1166990,50.8517,143.1417,1609.04
2430992,45.9044,-68.9214,1605.69
-1172114,45.9042,-68.9217,1605.69
2436139,11.9033,18.1908,1603.62
2436823,50.7361,15.7397,1603.35
2447698,-32.0031,151.4469,1599.25
2449124,22.0586,-159.4975,1598.68
-1198667,-30.4375,152.24,1585.87
-1217005,-41.5333,147.6583,1571.85
-1218574,59.6317,59.135,1570.02
2545290,48.4236,75.4714,1561.64
-1234046,-20.4733,28.705,1559.97
2574376,-16.2828,28.1236,1550.73
-1247959,75.1667,57.8167,1548.99
2580609,-14.7339,26.8431,1548.33
2604886,27.5097,41.5486,1539.36
-1262517,46.8108,151.79,1538.94
2618586,12.1119,-12.2636,1534.25
-1273188,-23.4008,132.395,1531.01
2642947,51.2972,123.1283,1525.42
-1291380,-12.2158,27.8108,1519.73
-1294875,81.0633,-59.5283,1518.0
2675373,12.575,54.0222,1513.74
2687820,23.2789,44.593,1509.16
