summitId,latitude,longitude,elevation,candidate
-380626,19.0233,-70.9975,3097.99,True
-381183,30.9925,-115.375,3094.94,True
782153,19.0319,-71.0053,3093.98,True
-383985,28.2525,-107.595,3080.92,True
786271,28.2528,-107.5944,3080.65,True
787302,21.2336,93.903,3077.34,True
-385485,56.8642,117.575,3072.08,True
-385725,-21.0992,55.48,3070.86,True
-385994,36.5933,30.15,3069.95,True
791888,36.6053,30.1206,3062.94,True
792236,39.0806,113.567,3061.85,True
-387487,21.2342,93.9017,3060.8,True
-387832,39.0808,113.5667,3059.0,True
795339,30.9903,-115.3739,3051.87,True
796144,22.2739,-102.6072,3049.35,True
797305,-21.0989,55.48,3045.5,True
-391092,12.9342,24.23,3041.9,True
-391839,22.2733,-102.6075,3038.0,True
801765,-3.1733,129.4556,3031.82,True
-393347,0.5775,120.205,3030.02,True
-394072,-3.1733,129.455,3026.97,True
-394500,57.3467,-124.0925,3023.92,True
-394819,-82.4667,-103.9,3022.09,True
-395459,23.2383,57.2633,3018.13,True
808708,12.9436,24.2344,3010.89,True
808922,-72.15,23.2608,3010.24,True
-398099,65.1858,146.04,3002.89,True
-398349,-15.9492,35.5925,3001.98,True
813734,17.9286,43.2655,2995.85,True
814027,-82.4606,-103.8889,2994.88,True
-399711,0.805,-66.0067,2994.05,True
814931,-15.9494,35.5931,2992.36,True
816226,23.2375,57.2642,2988.9,True
-401973,-9.0783,34.0208,2980.03,True
819279,56.8775,117.5047,2980.02,True
820363,57.3464,-124.0928,2977.14,True
820585,65.1772,146.0117,2976.51,True
-404878,-8.9075,125.4942,2962.96,True
825997,-9.0775,34.0225,2960.63,True
-405489,62.58,140.8975,2959.0,True
-406335,6.9875,125.2708,2954.12,True
828800,63.4314,-130.3244,2953.42,True
-407055,63.4317,-130.3242,2951.99,True
829321,-8.9064,125.4933,2951.92,True
830407,62.6044,140.9411,2948.64,True
-408578,73.0908,-28.6175,2942.84,True
-410511,-54.45,-36.5242,2931.87,True
839231,-54.4497,-36.5236,2925.46,True
-411815,42.18,23.585,2924.86,True
840235,73.0908,-28.6183,2922.73,True
840299,16.5978,120.8989,2922.57,True
-412260,16.5975,120.8992,2922.12,True
840751,42.1792,23.5853,2921.37,True
-412796,0.0792,99.9842,2919.07,True
-413244,40.0858,22.3583,2916.94,True
-414079,42.4692,13.5658,2912.06,True
-414555,-74.1633,-3.6608,2909.93,True
-414815,23.2892,5.5333,2908.1,True
849212,0.0786,99.9839,2899.83,True
849384,-72.5492,0.6542,2899.31,True
-416896,-20.4358,-41.7975,2897.12,True
-419267,-41.9958,173.6625,2884.93,True
856155,23.2886,5.5339,2882.21,True
857839,42.4697,13.5644,2878.17,True
858207,63.1606,-44.7867,2877.23,True
858212,-20.4342,-41.7964,2877.21,True
