Latitude,Longitude,Elevation,Key col latitude,Key col longitude,Prominence
-24.6833,15.385,2155,-24.6833,15.3733,361
-24.7483,15.2325,1653,-24.7708,15.2275,322
-24.7558,15.6158,2043,-24.7292,15.5958,309
-24.7625,15.485,1929,-24.755,15.4867,400
-24.7675,15.4675,1935,-24.7742,15.465,394
-24.7708,15.36,1804,-24.78,15.3575,381
-24.7775,15.4508,1870,-24.7708,15.4508,426
-24.7817,15.4175,1843,-24.7733,15.4108,365
-24.7883,15.2833,1551,-24.7967,15.285,440
-24.7908,15.3992,1840,-24.7925,15.385,427
-24.7917,15.3642,1840,-24.7925,15.3442,436
-24.81,15.28,1391,-24.8,15.2442,659
-24.8367,15.5258,2342,-24.8767,15.495,325
-24.9067,15.5767,2568,-24.8658,15.5792,342
-24.0175,28.9125,3080,-24.0208,28.9067,492
-25.1467,-67.1267,11876,-25.0483,-67.1842,650
-25.2175,-67.5808,12732,-25.21,-67.5833,306
-25.3067,-67.9508,13205,-25.3342,-68.0083,407
-25.4717,-67.3367,12247,-25.4492,-67.3708,702
-25.5692,-67.2992,13074,-25.5083,-67.2158,511
-25.9975,-67.7292,12066,-25.96,-67.7317,345
-25.0075,-68.6242,12024,-24.965,-68.7333,640
-25.0133,-68.1733,12004,-25.06,-68.0617,1729
-25.0483,-68.0417,13277,-25.0392,-68.0325,305
-25.0817,-68.4908,13887,-25.125,-68.5542,394
-25.1083,-68.8583,11571,-24.9758,-68.9483,676
-25.2183,-68.4325,14212,-25.2317,-68.4158,561
-25.23,-68.5567,16036,-25.2525,-68.5592,318
-25.2567,-68.2458,13612,-25.2675,-68.2408,571
-25.2875,-68.3783,13763,-25.2683,-68.2692,423
-25.3125,-68.3583,13897,-25.3133,-68.3625,433
-25.3975,-68.6608,12923,-25.43,-68.7142,334
-25.4775,-68.8092,11742,-25.4975,-68.8342,374
-25.4858,-68.4258,12549,-25.5017,-68.4517,662
-25.5133,-68.8308,11660,-25.3858,-68.805,666
-25.53,-68.145,13641,-25.5825,-68.1458,437
-25.5617,-68.685,13805,-25.59,-68.6208,312
-25.5958,-68.39,12191,-25.4967,-68.1842,2008
-25.6742,-68.3292,13152,-25.6483,-68.3208,420
-25.8025,-68.2483,12788,-25.8158,-68.2217,627
-25.8408,-68.5192,12959,-25.7483,-68.5433,610
-25.855,-68.2908,12719,-25.8092,-68.2817,1368
-25.8575,-68.6783,12942,-25.7083,-68.4083,1257
-25.8858,-68.95,11916,-25.8958,-68.965,475
-25.8917,-68.8917,13090,-25.9008,-68.8667,312
-25.9142,-68.4417,14904,-25.92,-68.4267,414
-25.9183,-68.0433,11276,-26.0217,-68.025,741
-25.9483,-68.7033,12979,-25.89,-68.7742,1040
-25.9642,-68.0067,12280,-25.9717,-68.02,370
-25.8283,-69.0467,13339,-25.7958,-68.9967,401
-25.9958,-69.0608,11535,-26.0508,-69.0608,1047
-25.0442,15.8017,2687,-25.1875,15.8208,505
-25.2017,15.4992,2168,-25.2283,15.4475,335
-25.26,15.5517,2627,-25.2742,15.53,365
-25.3325,15.1692,1200,-25.325,15.1342,427
-25.3458,15.24,1397,-25.3592,15.2167,322
-25.4167,15.1233,1161,-25.4017,15.1067,449
-25.7508,15.69,2112,-25.7217,15.5642,440
-25.7667,15.5925,2217,-25.775,15.5917,325
-25.7808,15.4092,1873,-25.7892,15.3875,357
-25.8825,15.9467,2532,-26.035,15.9525,447
-25.6733,28.5117,4360,-25.6767,28.5108,351
-25.3217,118.358,1164,-25.3117,118.358,489
-25.3458,118.359,1335,-25.3425,118.358,318
-25.3617,118.622,1240,-25.3608,118.624,485
-25.6367,118.718,1617,-25.6342,118.718,305
-26.0025,-67.0458,14973,-26.1192,-66.9483,368
-26.105,-67.9975,10885,-23.4,-66.5208,2563
-26.2108,-67.8042,12467,-26.1983,-67.8942,489
-26.4167,-67.6725,10669,-26.4075,-67.6275,859
