latitude,longitude,elevation,prominence,name_local,name_en,wikipedia
47.6089,97.5525,4007.42,2258.45,Отгонтэнгэр,,mn:Отгонтэнгэр
-78.0603,162.6883,4001.3,2169.83,Mt Lister,,
38.9858,-114.3139,3981.6,2305.51,,,
44.9947,100.2308,3952.39,1974.46,,,
51.3756,-125.2667,3940.63,3226.2,Mount Waddington,,en:Mount Waddington
23.47,120.9572,3936.62,3936.62,玉山,Yushan,zh:玉山
53.1108,-119.1569,3915.64,3195.2,Mount Robson,,en:Mount Robson
38.5317,35.4469,3890.73,2393.95,Erciyes Dağı,,
-85.7089,-128.5778,3885.18,1456.33,,,
-86.2908,-158.6361,3857.97,1459.84,,,
35.3464,-111.678,3850.54,1839.47,,,
9.4842,-83.4886,3812.35,3760.58,Cerro Chirripó,,
-1.6975,101.2644,3775.39,3775.39,Gunung Kerinci,Mount Kerinci,en:Mount Kerinci
35.3606,138.7272,3768.41,3768.41,剣ヶ峰,Kengamine,ja:剣ヶ峰 (富士山)
-39.6372,-71.5028,3745.5,2632.52,Volcán Lanín,Lanín,en:Lanín
16.2147,-96.1819,3724.69,2159.61,,,
24.8714,-100.2328,3720.6,1876.36,Cerro El Potosi,,es:Cerro El Potosí
28.2728,-16.6425,3705.99,3705.99,Pico del Teide,,es:Teide
-8.4117,116.4581,3704.66,3704.66,Rinjani,,
68.8397,-29.9211,3691.63,3691.63,,,
-8.1078,112.9219,3672.99,3672.99,Gunung Semeru,Mount Semeru,
15.28,43.9778,3664.37,3309.06,جبل حضور النبي شعيب,Jabal An-Nabi Shu'ayb,
-43.5953,170.1419,3658.09,3658.09,Aoraki / Mount Cook,Mount Cook,en:Aoraki / Mount Cook
33.3743,-105.8088,3649.37,1691.03,Sierra Blanca Peak,Sierra Blanca Peak,
30.2625,67.3014,3569.54,1581.82,لوي سرنيکان,Loe sar Nekan,
50.87,-115.6511,3556.13,2024.44,Mount Assiniboine,,en:Mount Assiniboine
51.7189,100.5972,3481.97,1569.03,Мунку-Сардык,,ru:Мунку-Сардык
-29.4683,29.2692,3480.01,2389.55,Thabana Ntlenyana,Thabana Ntlenyana,en:Thabana Ntlenyana
37.0533,-3.3117,3472.3,3280.05,Pico de Mulhacén,,es:Mulhacén
3.7975,97.2189,3459.96,2934.11,,,
19.7939,18.5522,3446.97,2935.87,,,
-3.385,120.0242,3432.75,3432.75,Buntu Rantemario,,en:Mount Latimojong
-7.2386,109.22,3424.58,3288.14,Gunung Slamet,Slamet,en:Mount Slamet
66.9356,-36.7856,3394.74,1603.25,Mont Forel,,
42.6311,0.6564,3364.9,2773.32,Tuca d'Aneto / Maladeta de Corones,Aneto,an:Tuca d'Aneto
23.2061,-104.9442,3334.75,1359.12,Cerro Gordo,,
37.755,14.9953,3323.78,3323.78,Etna,Etna,it:Etna
36.2808,59.0494,3314.01,1869.58,شیرباد,Shirbad,fa:شیرباد
25.9561,-107.0478,3299.94,861.95,Cerro Mohinora,,en:Cerro Mohinora
8.8753,34.8153,3276.06,1715.82,Mount Tulu Welel,,en:Mount_Welel
72.5531,-37.58,3230.71,535.98,,,
-69.7981,-64.4544,3212.04,2168.67,Mount Hope,,en:Mount Hope (Palmer Land)
-73.4622,61.8783,3211.2,1168.17,,,
-73.4425,-126.7508,3195.14,3124.25,,,
3.9461,32.9103,3179.08,2114.33,Mount Kinyeti,,en:Kinyeti
-4.0156,103.1281,3154.84,2431.66,Gunung Dempo,Mount Dempo,
-71.8764,6.67,3143.5,731.02,,,
-71.3606,-63.4275,3125.06,1225.42,,,
22.3036,103.7755,3113.48,1572.7,Phan Xi Păng,Fansipan,vi:Phan Xi Păng
31.4403,110.3072,3103.07,2276.22,神农顶,Shennong Mountaın,
19.0319,-71.0053,3093.98,3093.98,,,
28.2528,-107.5944,3080.65,826.98,Gasachi,,
21.2336,93.903,3077.34,2156.79,နတ်မတောင,Nat Ma Taung,en:Nat Ma Taung
36.6053,30.1206,3062.94,1966.66,Kızlarsivrsi Dağı,,
39.0806,113.567,3061.85,1786.69,北台顶,Wutai Shan North Terrace,en:Mount Wutai
30.9903,-115.3739,3051.87,2094.27,Picacho del Diablo,,es:Cerro de La Encantada (México)
22.2739,-102.6072,3049.35,830.97,,,
-21.0989,55.48,3045.5,3045.5,Piton des Neiges,,fr:Piton des Neiges
-3.1733,129.4556,3031.82,3031.82,Gunung Binaiya,Mount Binaiya,
12.9436,24.2344,3010.89,2476.85,,,
-72.15,23.2608,3010.24,715.56,,,
17.9286,43.2655,2995.85,1204.12,,,
-82.4606,-103.8889,2994.88,876.59,,,
-15.9494,35.5931,2992.36,2312.92,Sapitwa,,fr:Sapitwa
23.2375,57.2642,2988.9,2865.68,جبل الشام,Jabal ash Sham,
56.8775,117.5047,2980.02,2133.84,,,
57.3464,-124.0928,2977.14,2254.73,Mount Ulysses,,en:Mount Ulysses
65.1772,146.0117,2976.51,2416.11,Победа,Peak Pobeda,ru:Победа (гора)
-9.0775,34.0225,2960.63,1670.27,,,
63.4314,-130.3244,2953.42,2153.38,Keele Peak,,en:Keele Peak
-8.9064,125.4933,2951.92,2951.92,Tatamailau,Mount Ramelau,pt:Monte Ramelau
62.6044,140.9411,2948.64,1913.56,Мус-Хая,,ru:Мус-Хая
6.9875,125.2708,2946.19,2946.19,Mount Apo,,
