latitude,longitude,elevation,name_local,name_en,wikipedia
-5.905,154.9953,2713.9,,,
5.4439,-61.0228,2695.54,,,
-3.3003,126.2197,2692.67,Kapalatmada,Mount Kapalatmada,
10.1697,77.0614,2680.17,Anamudi,,de:Anamudi
20.7794,40.798,2659.24,,,
-22.1947,46.8853,2648.58,Imarivolanitra,,
-7.0908,37.6208,2645.7,Lukwangule peak,,
-19.3494,47.2433,2639.33,Ambatondrangahy,,
-80.5494,-96.6653,2632.61,,,
28.5094,33.9556,2628.35,جبل كاترينا,Mount Catherine,en:Mount Catherine
-54.6631,-69.5925,2623.49,,,
18.8097,97.0375,2621.08,,Mount Nattaung,en:Nattaung
-12.4628,15.1736,2618.28,,,
49.1639,20.1339,2603.93,Gerlachovský štít,,sk:Gerlachovský štít
15.0692,107.9753,2593.8,Ngoc Linh,,
43.1739,-4.8572,2586.76,,,
81.915,-75.0097,2584.03,,,
41.1,33.8633,2582.77,Ilgaz Dağı,,
-18.3006,32.8419,2581.99,Mount Nyangani,,
27.8817,108.6814,2566.56,凤凰山,Fenghuang Shan,
-21.1497,14.5775,2564.32,Königstein,,en:Königstein (Namibia)
40.2483,-5.2997,2536.89,Pico Almanzor,,es:Pico Almanzor
45.5853,24.5581,2526.52,Negoiu,,"ro:Vârful Negoiu, Munții Făgăraș"
7.0008,80.7736,2523.12,Pidurutalagala,,
-81.9417,-89.8042,2483.52,,,
-7.5039,29.9867,2481.97,,,
-22.6497,17.1831,2477.84,Moltkeblick,,
67.4128,-154.965,2473.85,Mount Igikpak,,
76.4694,-25.6433,2460.85,Gefiontinde,,en:Gefiontinde
61.6361,8.3128,2459.01,Galdhøpiggen,,en:Galdhøpiggen
35.2264,24.7708,2452.65,Ψηλορείτης,Psiloritis,el:Ψηλορείτης
-31.7586,24.5397,2452.0,Compassberg,,
10.7364,47.2442,2445.49,Shimbiris,,
61.8886,171.17,2429.29,Ледяная,Ledyanaya,ru:Ледяная (гора)
23.9767,39.2825,2378.66,,,
67.5822,128.1439,2370.86,,,
55.8975,130.4539,2370.77,,,
53.6075,134.5764,2356.52,,,
-11.7589,43.3669,2356.42,Mont Karthala جبل القرطالة,Mount Karthala,ar:القرطالة
-5.0508,151.3311,2351.54,Ulawun,,en:Ulawun
-23.3514,16.2153,2348.05,Gamsberg,,
40.9761,110.6189,2345.63,红芪峰,,
38.4689,-28.3992,2334.84,Montanha do Pico,Mount Pico,pt:Montanha do Pico
-74.1519,-66.4733,2328.22,,,
-25.2094,30.1497,2328.02,Die Berg,,
-9.7036,160.0622,2326.27,Mount Popomanaseu,,
35.3183,6.6369,2322.6,Djebel Chélia,Mount Chelia,fr:Djebel Chélia
-33.3981,21.3681,2313.19,Seweweekspoortpiek,,en:Seweweekspoortpiek
-0.6597,112.6886,2310.88,,,
71.4011,-51.8358,2299.6,,,
36.4478,4.2281,2299.22,Lalla Khedidja,Lalla Khedidja,fr:Lalla Khedidja
43.6636,142.8542,2287.95,旭岳,Mount Asahi-dake,ja:旭岳
71.0819,-8.1767,2262.19,,,
50.5742,134.5939,2254.72,Баджальский хребет,Mount Oolong (?),
1.8197,115.2725,2245.61,,,
32.9117,-0.4675,2236.39,Djebel Aïssa,Mount Issa,ar:جبل عيسى
-36.4561,148.2636,2226.46,Mount Kosciuszko,,en:Mount Kosciuszko
66.7706,-65.1583,2216.91,,,
-70.1944,64.8,2208.16,,,
-27.18,18.7286,2196.24,Schroffenstein,,de:Schroffenstein
4.6328,102.2344,2182.17,Gunung Tahan,Mount Tahan,ms:Gunung Tahan
20.7456,36.8392,2180.78,,,
64.2175,133.5594,2179.41,,,
-71.0136,65.1467,2176.7,,,
66.0394,-52.2544,2175.01,Naparutaq,Mount Atter,
-67.3731,164.7556,2171.67,,,
27.8603,117.7833,2156.67,黄岗山,,zh:黄岗山
14.6731,48.7808,2144.98,,,
-19.6153,17.6203,2142.59,,,
-84.8553,-65.0333,2126.92,,,
25.8667,110.4128,2121.63,猫儿山,Kitten Mountain,zh:猫儿山_(桂林市)
16.1714,99.0367,2117.6,,,
26.3133,114.04,2116.41,南风面,,
11.3264,49.7486,2107.06,,,
64.0139,-16.6783,2091.51,Hvannadalshnúkur,,is:Hvannadalshnúkur
67.9008,18.5172,2088.27,,,
-24.4706,27.5892,2084.12,,,
79.9256,-92.3075,2082.1,,,
53.1264,-168.6953,2080.47,Mount Vsevidof,,en:Mount Vsevidof
23.5392,-109.9544,2078.07,Sierra de la Laguna,,
-17.1997,13.0208,2068.13,,,
-25.2706,15.7547,2059.21,,,
42.6156,117.7958,2050.75,大光顶子山,,
13.4667,98.805,2050.69,,Myinmoletkat Taung,en:Myinmoletkat Taung
-37.1117,-12.2889,2040.09,Queen Mary's Peak,,en:Queen Mary's Peak
-66.7003,54.84,2039.64,,,
35.7649,-82.2651,2037.28,Mount Mitchell,,en:Mount Mitchell
-83.3819,-51.3833,2035.98,,,
-13.2967,-41.9075,2030.42,,,
15.3086,26.5497,2008.58,,,
47.1164,136.5683,2001.66,Ко,Ko,ru:Ко (гора)
17.8392,8.7206,2001.37,Idoûkâl-n-Taghès,,
9.9658,45.0283,2001.23,,,
61.4864,155.3145,1997.79,,,
19.0136,8.6014,1983.72,,,
0.2692,6.5417,1976.36,Pico de São Tomé,,en:Pico_de_São_Tomé
35.8744,1.6322,1974.9,Kef Sidi Amar,,
-24.6153,46.7042,1971.2,,,
33.8544,134.0947,1951.6,,,
27.47,-112.5919,1946.8,Tres Virgenes Volcanic Complex,,en:Tres Vírgenes
83.3183,-33.2,1945.82,,,
73.23,-78.6233,1938.94,,,
9.2275,-11.115,1931.59,Loma Mansa,,en:Mount_Bintumani
30.3361,130.5042,1926.95,宮之浦岳,Mt. Miyanoura,
33.3617,126.5358,1924.52,,,
44.2705,-71.3034,1916.58,Mount Washington,,en:Mount Washington
53.7269,117.5575,1909.29,,,
-8.8611,27.0653,1908.48,,,
-80.6578,-24.6667,1894.42,,,
21.9158,24.9997,1891.49,,,
-13.3439,29.6103,1891.0,Mount Mumpu,,en:Mount Mumpu
65.035,60.1139,1889.28,Народная,Mount Narodnaya,ru:Народная (гора)
-15.3631,166.7545,1879.71,Mount Tabwemasana,,
-11.5231,31.5922,1878.98,,,
67.8169,178.2939,1878.68,Исходная,,
-2.7106,115.6258,1865.1,Gunung Halau-halau,Mount Halau-halau,id:Gunung Halau-halau
-13.6186,-172.4869,1862.82,Mauga Silisili,,en:Silisili
70.7994,-71.6508,1858.08,,,
-27.8858,23.5631,1854.78,,,
43.695,134.1994,1853.72,Гора Облачная,,ru:Облачная (гора)
-25.2411,-48.8297,1852.88,,,
32.7589,-16.9428,1851.15,Pico Ruivo,,pt:Pico Ruivo
17.1625,54.8542,1848.96,,,
-17.6097,-149.4953,1836.48,,,
30.1347,118.1642,1832.84,,,
-27.9097,-49.3219,1822.59,Morro da Bela Vista do Guizoni,,
18.8994,109.7044,1817.12,五指山二峰,Wuzhi Shan II,
66.0247,163.2383,1812.03,,,
12.0328,104.1711,1808.19,Phnom Aural,,
51.8831,-178.1442,1797.2,Tanaga,,
-9.2442,27.8183,1789.6,,,
63.645,-50.3989,1786.54,,,
8.4942,99.7294,1784.74,,,
65.3378,165.5622,1781.07,,,
67.5389,168.1383,1779.59,г. Двух Цирков,,
45.4725,114.5892,1777.23,,,
9.9342,9.0344,1766.46,,,
44.3531,146.2533,1760.21,Тятя,,
7.6219,-8.4083,1755.34,Nimba,,
-17.195,30.6883,1747.78,,,
47.0578,120.5219,1747.47,,,
-11.1133,26.3914,1738.13,,,
30.3942,35.4925,1733.16,,,
-37.9169,178.06,1730.87,Hikurangi,,en:Mount Hikurangi (Gisborne District)
47.5422,120.48,1729.63,,,
80.4328,-19.6903,1724.39,,,
59.3242,114.4233,1715.85,,,
24.65,72.7769,1715.02,,,
79.0106,17.4917,1704.82,Newtontoppen,,en:Newtontoppen
0.0425,-91.335,1704.57,Volcán Wolf,,de:Wolf (Vulkan)
67.9933,-136.585,1703.66,,,
-73.6525,-94.095,1681.61,,,
69.1264,95.3117,1679.08,,,
18.2281,82.7228,1679.06,Arma Konda,,
-13.9522,-47.5208,1672.15,,,
-49.5942,69.4939,1664.53,Mont Ross,,fr:Mont Ross
-68.8275,-90.6317,1639.08,,,
54.255,58.1042,1638.01,Ямантау,Mount Yamantau,ru:Ямантау
-20.5886,164.7708,1627.66,Mont Panié,,fr:Mont Panié
-20.6217,29.9033,1627.06,,,
-17.3994,145.8181,1613.85,Mount Bartle Frere Summit (South Peak),,
-41.8711,146.0333,1609.81,Mount Ossa,,
45.9044,-68.9214,1605.69,Baxter Peak,,
50.8517,143.1422,1605.34,Лопатина,,
11.9033,18.1908,1603.62,Mont Guerra,,
50.7361,15.7397,1603.35,Śnieżka / Sněžka,,pl:Śnieżka
-32.0031,151.4469,1599.25,Brumlow Top,,en:Brumlow Top
19.6014,73.7089,1599.15,Kalsubai,Kalasubai peak,en:Kalsubai
22.0586,-159.4975,1598.68,Kawaikini,,
58.9444,-63.79,1593.36,,,
-30.4378,152.2403,1583.65,Round Mountain,,en:Round Mountain (Northern Tablelands)
-41.5331,147.6589,1571.12,Legges Tor,,
59.6319,59.1347,1563.81,Конжаковский Камень,,
48.4236,75.4714,1561.64,,,
-16.2828,28.1236,1550.73,,,
-14.7339,26.8431,1548.33,,,
44.6128,34.2428,1544.48,Роман-Кош,Roman Kosh,ru:Роман-Кош
27.5097,41.5486,1539.36,,,
75.1758,57.825,1539.08,Novaya Zemlya High Point,,
12.1119,-12.2636,1534.25,Mont Loura,Mount Loura,
36.2561,117.1056,1531.93,玉皇顶,,
