id,latitude,longitude,elevation,isolation
389253,21.2342,93.9017,3060.8,479906.1
389634,39.08,113.5675,3058.97,651562.6
389635,39.0808,113.5667,3058.97,651489.1
392935,12.9342,24.23,3041.9,969254.6
395282,0.5775,120.205,3030.02,371961.2
395819,-3.1733,129.455,3026.97,682420.3
396417,57.3467,-124.0925,3023.92,435721.8
396782,-82.4667,-103.9,3022.09,437963.3
397096,27.0342,-102.3925,3019.96,217977.1
397403,23.2383,57.2633,3018.13,522454.2
398593,6.2,10.5192,3011.12,259905.7
399952,65.1858,146.04,3002.89,1233612.9
400141,-15.9492,35.5925,3001.98,1271583.4
400513,18.2667,42.3675,3000.15,324305.5
400975,45.245,-117.2925,2998.62,201995.4
401743,0.805,-66.0067,2994.05,899104.4
404081,-9.0783,34.0208,2980.03,533159.1
406333,42.6367,-118.5767,2966.62,200803.5
406874,-8.9075,125.4942,2962.96,770539.0
407602,62.58,140.8975,2959.0,382980.9
408267,-1.1567,133.98,2955.04,350920.3
408467,6.9875,125.2708,2954.12,904825.6
409039,63.4317,-130.3242,2951.99,527740.8
412646,-54.45,-36.5242,2931.87,2205730.2
413931,42.18,23.585,2924.86,810088.6
414453,16.5975,120.8992,2922.12,666675.2
414983,0.0792,99.9842,2919.07,240582.5
415338,40.0858,22.3583,2916.94,254351.3
416265,42.4692,13.5658,2912.06,445348.1
417009,23.2892,5.5333,2908.1,1162390.6
417194,-71.5667,159.8133,2906.88,211697.7
419127,-20.4358,-41.7975,2897.12,2342549.8
419323,-72.05,-70.7375,2895.9,252130.5
421461,-41.9958,173.6625,2884.93,318764.6
423216,-14.0225,48.9675,2876.09,1041608.5
423224,63.1392,-44.8367,2875.79,560077.9
423225,63.1483,-44.8167,2875.79,558651.3
423621,-5.3475,119.9325,2873.96,201430.8
424622,54.755,-163.9708,2869.39,877038.4
430863,54.6217,110.4558,2840.13,294048.6
432690,3.66,-65.4067,2831.9,322339.8
433148,18.9808,103.1517,2830.07,295392.9
433399,14.95,-24.3425,2828.85,1672471.6
434332,43.6358,103.7708,2824.89,204356.9
437840,5.1408,-60.7633,2809.95,538635.0
437841,-85.0442,-90.8458,2809.95,222526.0
437842,37.8983,111.4917,2809.95,217904.4
440921,-22.4283,-44.8425,2798.06,384421.1
441161,-39.2892,175.5625,2797.15,340702.3
443511,48.4658,107.4125,2787.7,439874.6
445621,17.5625,38.0058,2780.08,304419.1
447518,61.875,-127.6808,2773.07,219848.6
448278,-31.9875,-64.9367,2770.02,256655.0
449642,10.5433,-66.7825,2765.15,368873.2
449906,41.7908,20.5458,2763.93,235288.0
450736,-64.6217,-63.4575,2760.88,574019.5
451365,54.4183,-127.7442,2759.05,254096.7
456592,-53.105,73.5133,2745.03,2026058.6
456955,41.9933,128.0775,2744.11,1014626.2
456967,69.2775,-144.91,2743.81,629550.2
466744,29.0133,-102.6175,2716.99,207886.9
467644,-5.905,154.995,2714.85,752255.6
471161,42.38,8.9458,2706.01,223268.0
473902,-3.3008,126.22,2699.92,358339.0
476864,10.1708,77.0633,2695.04,2090264.4
492212,-80.61,-96.7675,2674.92,237790.5
496779,-22.195,46.885,2657.86,889849.7
496780,-73.8117,-64.2658,2657.86,275126.5
497982,49.1642,20.1342,2653.89,510071.6
498284,-7.0925,37.6183,2652.98,380268.9
499945,43.1975,-4.8525,2648.1,346486.4
500270,20.7792,40.7983,2646.88,211459.5
501535,-19.3492,47.2433,2642.92,317274.7
505822,28.51,33.955,2628.9,572249.6
507546,18.81,97.0375,2623.11,413323.3
508543,-12.4625,15.1742,2620.06,1728049.1
509738,81.915,-75.0092,2616.1,751545.5
515613,15.0692,107.975,2598.12,609259.0
516246,10.0842,-63.9583,2595.98,313163.3
517546,-18.3,32.8417,2592.02,389462.3
517855,40.2458,-5.2975,2591.1,326916.1
519115,41.1008,33.8633,2587.14,310004.4
519782,13.2625,120.995,2585.01,366201.3
521315,-54.6592,-69.5967,2580.13,468580.9
523604,-21.1492,14.5775,2573.12,963148.4
524529,27.8817,108.6817,2570.07,398210.0
527177,61.8933,171.1858,2562.15,734462.5
533551,45.6008,24.7358,2543.86,387068.6
533888,40.075,29.2167,2542.95,237091.9
540193,7.0,80.7742,2524.05,519271.8
540194,7.0008,80.7742,2524.05,519209.7
540971,67.4125,-154.9658,2522.52,453341.7
542030,20.6858,97.3417,2518.87,209619.9
546294,56.2192,-159.2975,2506.98,336712.8
547712,-31.7592,24.54,2503.02,282118.4
552905,-13.7858,13.1758,2489.0,216525.8
556454,-22.65,17.1792,2478.94,316216.1
556812,-7.5042,29.9867,2477.72,276389.3
560042,61.6367,8.3125,2468.88,1568364.4
562623,13.2558,123.6858,2461.87,291156.9
563364,10.735,47.245,2460.04,406941.4
563365,7.2925,12.2292,2460.04,219777.0
564845,35.2275,24.7708,2456.08,439917.1
570234,5.7192,-65.8917,2441.14,212507.3
574463,10.41,123.13,2429.87,294585.1
577063,3.905,115.4892,2422.86,213788.4
578225,12.4058,108.4242,2420.11,297779.4
582577,67.5817,128.14,2409.14,523996.5
594493,55.8967,130.4533,2379.88,669226.4
594494,-67.01,-65.9183,2379.88,286475.1
598532,53.6067,134.575,2370.12,367871.9
599785,-8.6517,120.4483,2367.08,270645.2
602315,-11.7575,43.3658,2360.98,652790.8
606506,38.4683,-28.3992,2350.92,1451172.1
607758,23.9767,39.2825,2347.87,323312.7
608169,64.4708,-138.555,2346.96,222059.5
608170,18.3825,-74.0242,2346.96,212346.5
609878,41.1767,106.8217,2343.0,215194.5
611230,-4.405,152.9317,2339.95,279747.6
611671,50.8558,155.5658,2339.04,223975.7
613435,-9.7033,160.0617,2335.07,694597.9
613862,58.3533,-155.0933,2333.85,216992.4
614773,40.9758,110.6192,2331.72,255138.9
615175,-25.2092,30.15,2331.11,350523.3
616586,35.3183,6.6367,2328.06,779091.2
617911,-33.3983,21.3675,2325.01,348852.1
625867,36.4475,4.2283,2307.95,223225.5
630111,47.5975,24.6333,2303.07,220181.0
631502,-0.6592,112.6883,2300.02,576639.3
631503,-61.285,-54.1458,2300.02,474350.4
636052,43.6633,142.8542,2290.88,803890.4
638328,61.9733,149.3908,2286.0,205319.1
642591,71.08,-8.1792,2276.86,596478.8
647267,39.8942,16.2158,2267.1,255004.9
652506,18.0467,-76.5792,2256.13,271863.5
655531,1.82,115.2725,2250.03,231511.6
660149,-17.6233,-149.4767,2240.89,4128150.9
662690,39.0992,140.0492,2236.01,246904.6
662696,50.5742,134.5942,2235.71,213120.8
663664,55.9225,134.6617,2233.88,212137.6
666712,-36.4558,148.2633,2228.09,1894255.5
668224,32.9117,-0.4675,2224.74,303031.8
679456,43.8658,-103.5308,2204.01,224537.2
680521,-27.1808,18.7292,2201.88,490012.2
682994,-14.3392,34.3325,2197.91,214408.0
686476,66.0383,-52.255,2191.82,251163.2
687509,4.6325,102.235,2189.99,416965.4
694867,20.7458,36.8392,2175.97,350298.4
694868,43.8183,68.6333,2175.97,218538.8
698050,27.8608,117.7842,2169.87,491763.9
704814,64.1592,133.6225,2157.98,264450.9
705427,14.4925,48.6592,2156.76,229494.1
709402,-82.6233,-52.8125,2150.06,422916.2
709979,53.1258,-168.6942,2149.14,358105.6
713327,66.5467,-65.4292,2143.05,592065.1
713857,25.8658,110.4133,2142.13,228427.1
715030,26.3133,114.0367,2140.0,365846.7
718053,-24.4708,27.5925,2134.82,264985.4
727114,11.3258,49.7483,2119.88,251083.6
727115,17.7308,101.0075,2119.88,231532.3
731434,16.1708,99.0367,2112.87,269962.2
732579,-0.7367,127.5242,2111.04,309829.3
733222,64.0142,-16.6775,2110.13,714878.1
735714,67.9008,18.5167,2105.86,756671.3
740888,79.9258,-92.3067,2097.94,286865.9
745805,48.8967,138.0533,2090.01,291968.0
748884,8.8133,117.675,2085.14,307587.2
752179,23.5392,-109.9542,2079.96,338971.7
757553,13.4667,98.805,2072.03,299538.5
759482,-17.2008,13.0208,2068.98,216934.6
765506,-37.1117,-12.2892,2060.14,2662020.0
781082,35.765,-82.265,2037.28,1913486.1
783893,-13.2967,-41.9075,2033.02,585234.6
790100,0.2692,6.5417,2023.87,405942.6
791487,17.8383,8.72,2022.04,640851.0
800363,15.3083,26.5492,2009.85,287313.7
804070,61.4867,155.3142,2004.97,228351.8
804813,47.1158,136.5683,2004.06,226317.6
804824,56.6008,123.6183,2003.76,201736.3
812126,1.4533,125.0317,1994.92,287650.9
819280,35.8742,1.6325,1984.86,222467.2
821349,33.7675,133.1158,1982.11,420132.0
821350,17.0375,-25.2917,1982.11,246651.4
822819,1.7467,-61.7925,1979.98,226125.5
827305,19.99,-76.8358,1973.88,211914.2
833555,-24.6158,46.705,1964.74,251211.7
836494,24.2042,35.0058,1960.78,300344.2
843793,27.47,-112.5917,1951.02,339166.2
844620,33.3617,126.5292,1950.11,613142.2
848287,9.2283,-11.1142,1944.93,1571973.3
849008,73.23,-78.6233,1944.01,576539.2
854763,30.3358,130.5042,1936.09,453426.7
856163,21.9158,25.0,1933.96,590870.4
857602,75.345,-82.1408,1931.82,258811.6
870102,44.2708,-71.3033,1916.58,1318979.9
870926,35.3367,127.7308,1915.06,245119.3
874742,-8.8608,27.0642,1909.88,287102.1
874743,-8.8625,27.0675,1909.88,286893.3
874744,-8.86,27.0667,1909.88,286820.8
874745,-8.8617,27.0683,1909.88,286766.2
874746,83.3742,-35.2717,1909.88,264760.3
877780,53.7275,117.5583,1905.91,225843.4
878496,70.7992,-71.65,1905.0,361931.5
884906,57.0633,137.3275,1896.77,201790.7
886489,65.035,60.1142,1894.94,1835420.2
888870,-2.7133,115.6258,1891.89,386871.2
892148,67.8175,178.2942,1887.93,723661.9
894533,45.5283,2.8142,1884.88,221595.7
898709,39.6733,54.5433,1880.01,244913.3
899790,-15.3625,166.755,1879.09,917153.5
901392,-25.2508,-48.8,1876.96,381578.0
902932,-80.6558,-24.6733,1875.13,214313.7
902944,-13.345,29.6117,1874.82,481001.3
905945,-11.5233,31.5917,1870.86,207863.7
911541,30.125,118.1667,1863.85,234756.2
913112,32.7592,-16.9433,1862.02,449831.9
913124,-27.8875,23.5608,1861.72,356974.9
916484,-13.6183,-172.4867,1858.06,2245197.3
922870,-49.595,69.4967,1850.14,477046.9
922882,43.6958,134.1992,1849.83,420946.9
923694,25.6825,118.1858,1848.92,227142.8
931529,18.8983,109.7042,1840.08,403600.2
936786,39.9875,9.325,1833.98,204685.3
942770,-28.125,-49.475,1826.97,325036.6
951325,66.025,163.2367,1816.91,448044.8
954753,12.0325,104.1708,1812.95,420307.1
960846,51.8842,-178.1425,1805.94,655296.1
968977,-15.2383,-42.8208,1797.71,210074.8
979203,36.1458,-121.4192,1786.74,212172.7
984561,67.5392,168.1383,1780.95,270920.7
985510,8.4942,99.7292,1780.03,357987.8
992685,44.3533,146.2533,1772.11,255572.3
996413,-7.9625,157.0617,1768.14,226161.3
