summitId,latitude,longitude,elevation
4882536,18.3364,32.7403,955.64
4946967,-15.8719,-57.2175,943.65
4953310,66.7311,109.39,942.46
4975152,-17.3211,125.5608,938.37
4980203,-15.8731,-46.2344,937.39
5001945,53.08,70.1889,933.32
5017625,53.8758,-66.0525,930.42
5044311,-3.3144,11.1528,925.48
5091209,58.4228,104.8355,916.87
5097679,-4.645,55.4392,915.68
5100996,7.0994,5.0825,915.05
5114596,22.6511,-12.5744,912.48
5135915,69.9661,109.6094,908.51
5137303,-24.9944,120.4911,908.25
5156201,-40.3022,-9.9633,904.81
5162515,-6.4025,-50.3325,903.67
5177805,63.1275,97.7889,900.83
5190325,63.2939,100.9128,898.56
5206726,55.3339,-67.7044,895.57
5220062,-79.5661,-45.6133,893.15
5270269,-4.4144,12.7642,884.08
5270713,64.0131,96.9939,884.0
5287849,63.7225,104.5411,880.89
5292022,32.6389,21.84,880.13
5292066,53.9144,-62.0042,880.12
5320228,62.2967,-7.0128,875.02
5329630,8.6339,20.0811,873.35
5336827,50.2256,126.5097,872.07
5349101,-37.8489,77.5483,869.9
5355778,69.2422,-121.5383,868.72
5470531,-7.9517,-14.3431,848.48
5497967,-1.0353,-53.9008,843.75
5503427,25.8033,16.6683,842.82
5508005,53.4169,-102.3058,842.04
5508244,35.1671,-93.6447,842.0
5522656,51.4692,-100.7208,839.48
5523617,61.9381,96.4228,839.31
5527302,18.9394,1.0286,838.68
5566632,3.5436,-53.5742,831.92
5581736,69.5325,105.7739,829.3
5582307,-25.9028,-56.1594,829.2
5624539,-11.6458,166.8864,821.97
5657584,-13.7733,143.3217,816.39
5674671,-16.175,125.8181,813.5
5677251,-14.6125,-58.7797,813.05
5680642,-15.9725,-5.7003,812.49
5685188,60.1017,95.7228,811.72
5697594,-10.3861,165.8042,809.62
5700705,48.8328,-58.4844,809.11
5726508,7.1328,-1.8861,804.82
5737900,20.5711,-12.8089,802.89
5740538,49.5942,-57.7842,802.45
5815712,41.9056,-77.7028,790.0
5836480,16.355,145.6564,786.61
5849236,-35.5253,173.5108,784.52
5855515,80.5806,94.8931,783.48
5860466,-8.7011,-50.8103,782.72
5875765,6.8636,158.2358,780.22
5920659,58.5431,100.13,772.9
5965795,-22.7767,-56.1994,765.67
5965837,75.4089,-114.6492,765.66
5979681,-8.4631,-55.6019,763.49
5985117,64.23,107.9672,762.62
6017821,10.7617,-5.4183,757.57
6044905,66.9219,-116.1361,753.27
6080672,-54.4078,3.3508,747.75
6102166,52.5972,68.1097,744.47
6126015,54.8894,166.3317,740.74
6145817,13.1589,93.0056,737.72
6148538,48.8042,-73.59,737.3
6207785,-8.5828,-48.6567,728.39
6242336,71.1361,-122.9542,723.26
6293345,22.5644,-14.2817,715.66
6303506,25.4272,141.2808,714.17
6310516,-34.9742,138.7092,713.13
6317097,26.685,-4.8594,712.15
6348773,-2.1431,146.9406,707.55
6378437,-51.6917,-58.8344,703.18
6386966,47.8975,-90.5606,701.95
6409469,-1.8644,105.8489,698.66
6462304,47.3175,-80.7525,690.96
6475763,0.0858,-70.8622,688.99
6482232,-6.5403,-46.2561,688.04
6486681,-19.1908,128.8356,687.43
6537205,61.6361,-72.7356,680.26
6545748,-29.4664,117.2989,679.05
6550865,22.7025,-83.3097,678.32
6599750,8.1244,-4.6639,671.49
6603927,74.0272,96.2325,670.92
6619017,65.9353,-109.7411,668.82
6629028,-81.6544,-149.0028,667.41
6684263,-50.8964,166.0214,659.87
6709607,0.8572,-53.6697,656.36
6723458,48.4697,58.4883,654.48
6731979,6.6594,-5.5367,653.3
6752734,7.1511,93.8258,650.5
6781512,71.8378,-112.6825,646.64
6789892,70.1111,-84.31,645.51
6800014,48.2736,-86.0036,644.12
6813924,17.1414,-11.5697,642.24
6903374,66.0989,-90.4028,630.34
6967434,80.7981,58.4986,621.9
7023444,2.1275,-71.1728,614.57
7038680,-20.8872,139.8872,612.6
7063515,64.8306,-83.6022,609.39
7076856,70.6939,-93.7383,607.63
7093356,-32.8825,121.1633,605.46
7149309,23.7997,-10.64,598.32
7195521,-32.9658,116.4494,592.4
7228977,5.3111,162.9917,588.19
7234637,-33.4444,123.4756,587.47
7238185,-20.5117,-29.3247,587.02
7239673,-38.0094,-65.6042,586.83
7272548,45.6489,-78.2569,582.67
7297018,5.5244,-87.08,579.62
7307904,70.9283,-116.4325,578.24
7321293,-11.135,-61.5747,576.58
7340920,8.6669,106.5794,574.15
7407453,-15.8536,-173.7478,565.88
7412633,2.9989,44.2981,565.25
7430500,-12.9892,133.1178,563.07
7440194,-79.3567,-161.7433,561.88
7450334,3.1653,106.2189,560.61
7476405,-52.5708,169.1658,557.36
7532287,44.0717,52.5617,550.55
7594695,68.2989,-85.2783,542.98
7634099,46.1111,-81.2894,538.28
7663037,72.6994,123.2142,534.83
7676404,72.1097,140.865,533.22
7693580,46.5983,-60.7608,531.21
7707098,74.4133,19.1833,529.61
7730686,60.6722,-173.0911,526.81
7763206,44.1381,-85.3444,523.0
7785247,-27.5953,-144.3697,520.43
7799266,-37.5969,-59.2947,518.79
7819053,-65.5456,100.7911,516.52
7822268,69.5556,-112.6689,516.14
7823788,-14.2708,-178.1392,515.97
7825069,-29.2681,-177.9081,515.82
7860113,-34.3828,-54.6742,511.85
7894111,-27.0853,-109.3803,507.96
7908309,60.0281,-166.2622,506.35
7926413,-21.24,-159.7744,504.33
7957950,-9.5269,-59.9822,500.78
8001202,14.1447,145.1878,495.91
8007511,-30.5939,145.6867,495.19
8033106,70.9211,123.6067,492.31
8055097,-66.1533,96.7044,489.87
8077136,73.2511,-94.6208,487.47
8089136,-33.2828,136.1822,486.12
8211595,42.1403,60.4217,472.65
8212178,64.6031,50.345,472.58
8272046,73.7072,-118.9217,466.07
8311024,-31.5633,159.0892,461.87
8330905,72.275,-94.5133,459.71
8408158,23.9361,69.8236,451.5
8436103,60.5339,-1.4461,448.51
8445712,7.3408,151.623,447.47
8461013,-26.3464,-79.8944,445.88
8518883,48.5219,0.0275,439.78
8658327,45.6889,-65.2583,425.13
8659686,75.8853,-106.385,424.99
8671638,69.4267,62.2078,423.74
8687101,76.6544,148.59,422.12
8723901,-28.4883,136.0239,418.26
8751384,-54.7086,158.8275,415.43
8807287,72.9083,82.4158,409.64
8832462,-23.3683,-149.4683,407.05
8858995,80.2064,32.6778,404.35
8861746,-23.1275,-134.9858,404.09
8881228,76.3867,-101.6517,402.1
8957850,-19.7067,63.4464,394.31
9000050,53.4317,49.8325,390.08
9023133,-23.8575,-147.6486,387.72
9076372,48.3725,-3.953,382.38
9082014,30.4844,140.3086,381.81
9087181,23.03,-81.6919,381.29
9104963,-7.235,131.3761,379.52
