latitude_O,longitude_O,elevation_O,prominence_O,latitude_T,longitude_T,elevation_T,prominence_T,distance
36.6497,78.0708,6044.48,1103.99,40.7906,76.6681,4875.68,1238.19,476236.3184400235
36.6497,78.0708,6044.48,1103.99,40.3206,78.3875,3084.68,1072.3,409114.062041228
-33.0158,-69.455,5955.58,1437.16,-31.9878,-64.9364,2786.06,2224.98,438853.5530920341
-33.0158,-69.455,5955.58,1437.16,-29.6322,-67.6153,3389.8,1344.66,414817.05480847973
60.5678,-140.405,5930.7,5224.11,61.4375,-147.7517,3985.53,3253.53,407410.73658162565
41.0594,77.6839,5875.08,2572.04,36.9447,77.7306,5368.39,1225.78,457551.3224961044
41.0594,77.6839,5875.08,2572.04,36.9617,77.5408,5039.05,1222.74,455810.74589680624
41.0594,77.6839,5875.08,2572.04,37.0103,77.2261,5298.15,1187.19,451969.9872762713
41.0594,77.6839,5875.08,2572.04,37.1406,76.8453,4242.05,1045.32,441711.45903931285
41.0594,77.6839,5875.08,2572.04,37.2483,76.4483,5382.5,1405.04,436947.8765229934
41.0594,77.6839,5875.08,2572.04,37.5086,75.8644,5629.14,1421.11,424723.3862604164
41.0036,77.6167,5864.22,1348.35,36.9447,77.7306,5368.39,1225.78,451436.13227863976
41.0036,77.6167,5864.22,1348.35,36.9617,77.5408,5039.05,1222.74,449486.38277865684
41.0036,77.6167,5864.22,1348.35,37.0103,77.2261,5298.15,1187.19,445313.7522121366
41.0036,77.6167,5864.22,1348.35,37.1406,76.8453,4242.05,1045.32,434671.2501367375
41.0036,77.6167,5864.22,1348.35,37.2483,76.4483,5382.5,1405.04,429548.3666113437
39.2514,93.6964,5826.41,2525.67,43.3817,93.3558,4312.23,2097.5,460146.98256232654
39.2514,93.6964,5826.41,2525.67,43.0742,94.3472,4881.32,3238.84,428548.5110065802
37.795,86.8108,5819.68,1357.64,41.4725,88.2547,2740.4,1410.43,427185.5985098061
36.1525,70.6697,5803.94,1365.45,39.1981,68.1953,5457.35,2235.05,402588.19490659126
29.4678,96.0489,5799.69,1117.93,25.74,95.037,3833.69,2883.6,426328.6623884506
29.3986,94.8992,5772.87,1538.19,25.74,95.037,3833.69,2883.6,407044.11446490383
28.2628,92.9583,5752.09,1077.32,27.0397,96.875,3349.98,1137.79,409019.6068053236
41.0281,77.3353,5749.17,1140.97,36.9447,77.7306,5368.39,1225.78,455335.183810619
41.0281,77.3353,5749.17,1140.97,36.9617,77.5408,5039.05,1222.74,452511.03574051335
41.0281,77.3353,5749.17,1140.97,37.0103,77.2261,5298.15,1187.19,446858.23855752556
41.0281,77.3353,5749.17,1140.97,37.1406,76.8453,4242.05,1045.32,434331.7118728548
41.0281,77.3353,5749.17,1140.97,37.2483,76.4483,5382.5,1405.04,427192.2413688885
38.0381,95.3239,5738.86,1483.07,37.6936,90.618,5679.28,1347.65,414824.05873649416
10.8389,-73.6861,5697.91,5506.06,6.7786,-75.6925,3376.28,1468.85,502417.5102205191
10.8389,-73.6861,5697.91,5506.06,7.1031,-75.9692,3752.9,1605.26,485197.7618790358
10.8389,-73.6861,5697.91,5506.06,9.5275,-70.1133,3560.33,1540.68,417313.65838234324
29.3236,94.7489,5696.28,1355.66,25.5975,94.0664,3019.2,1560.96,419756.4488113578
39.1947,95.2942,5664.78,1341.7,43.0742,94.3472,4881.32,3238.84,438601.43480001413
-13.2317,-73.0911,5658.39,1214.5,-10.4306,-75.4225,3629.09,1757.89,401718.2672616492
35.5864,70.1639,5651.36,1102.65,39.1756,68.98,4754.96,1406.08,412569.718306182
35.5864,70.1639,5651.36,1102.65,39.0933,69.0186,4632.23,1060.57,402868.8565771686
43.3525,42.438,5632.35,4735.56,40.5222,38.1539,3104.88,1128.26,473817.5540020348
43.3525,42.438,5632.35,4735.56,40.3953,39.065,3323.63,1444.94,431337.5290575567
36.5219,80.3145,5464.83,2335.93,38.5669,75.7433,5308.74,1320.04,462656.0084494252
36.5219,80.3145,5464.83,2335.93,37.0967,85.0739,5234.55,1088.07,428457.82787205395
36.5219,80.3145,5464.83,2335.93,38.2158,76.0558,4845.05,1073.05,420787.5644626243
39.1981,68.1953,5457.35,2235.05,35.4858,69.61,5108.45,1466.45,431300.62021691503
39.1981,68.1953,5457.35,2235.05,35.3686,68.7953,5067.99,1388.72,429113.36675935565
29.3775,94.8172,5444.54,1027.17,25.5975,94.0664,3019.2,1560.96,426787.31941334094
29.3775,94.8172,5444.54,1027.17,25.74,95.037,3833.69,2883.6,405050.9499417429
37.2483,76.4483,5382.5,1405.04,40.685,77.9506,4048.94,1121.26,403593.27769817685
36.9447,77.7306,5368.39,1225.78,40.4494,75.0872,5025.18,1190.04,452154.80971023755
36.9447,77.7306,5368.39,1225.78,40.7906,76.6681,4875.68,1238.19,437414.9725483644
36.9447,77.7306,5368.39,1225.78,40.685,77.9506,4048.94,1121.26,416338.28464679694
29.3967,95.8708,5364.36,1063.73,25.74,95.037,3833.69,2883.6,414824.37626336643
43.7897,88.4111,5337.77,4014.31,47.3572,90.4989,3858.37,1115.67,428640.31981808733
43.7897,88.4111,5337.77,4014.31,47.0489,85.5664,3832.71,3240.49,424940.6710302274
62.9606,-151.3994,5313.18,2219.27,61.7317,-143.4383,4987.8,3588.03,432654.79252248496
62.9606,-151.3994,5313.18,2219.27,62.0233,-143.62,4106.5,1412.66,412618.4446282655
62.9606,-151.3994,5313.18,2219.27,62.3025,-143.5061,2827.45,1010.61,409793.5562174385
39.1503,68.3186,5300.24,1259.53,35.1544,68.4764,4962.85,1046.26,444543.39377251914
39.1503,68.3186,5300.24,1259.53,35.4858,69.61,5108.45,1466.45,423159.5920747702
39.1503,68.3186,5300.24,1259.53,35.3686,68.7953,5067.99,1388.72,422614.5615148831
37.0103,77.2261,5298.15,1187.19,40.685,77.9506,4048.94,1121.26,413391.94407780864
4.8939,-75.3236,5286.36,2022.08,7.6597,-72.9628,4018.35,1185.72,403306.2412390959
4.8939,-75.3236,5286.36,2022.08,7.8467,-73.2256,3568.69,1192.24,401926.6447819275
43.4381,86.0855,5242.01,2568.07,45.1936,90.9055,3313.66,2072.49,430201.29261004657
43.4381,86.0855,5242.01,2568.07,47.0489,85.5664,3832.71,3240.49,403551.372865195
37.6928,101.5061,5237.24,1481.87,38.8342,105.9494,3543.21,2105.98,408112.15338381793
4.6592,-75.3297,5219.34,1241.28,7.6597,-72.9628,4018.35,1185.72,423992.3702203932
4.6592,-75.3297,5219.34,1241.28,7.8467,-73.2256,3568.69,1192.24,423909.1812007622
28.2647,96.8825,5191.24,1129.34,26.1467,93.5067,1370.27,1183.93,408519.3364463186
39.3289,70.0447,5189.77,1598.4,35.3686,68.7953,5067.99,1388.72,453987.9659271831
43.05,43.2128,5125.73,1937.75,40.3953,39.065,3323.63,1444.94,453367.5926620304
43.05,43.2128,5125.73,1937.75,40.2789,46.3586,3710.0,1371.0,403954.12423922593
35.4858,69.61,5108.45,1466.45,39.0744,68.1456,4869.08,1063.14,419523.0534048419
43.0,43.11,5100.58,1258.34,40.3953,39.065,3323.63,1444.94,443379.77384269173
43.0,43.11,5100.58,1258.34,40.2789,46.3586,3710.0,1371.0,405430.2949361074
35.3686,68.7953,5067.99,1388.72,39.335,69.7539,5037.67,1324.34,449100.03435439937
35.3686,68.7953,5067.99,1388.72,39.1756,68.98,4754.96,1406.08,423633.93655422877
35.3686,68.7953,5067.99,1388.72,39.0933,69.0186,4632.23,1060.57,414638.65944921935
35.3686,68.7953,5067.99,1388.72,38.8861,70.2903,3687.84,1051.44,412955.74965823104
35.3686,68.7953,5067.99,1388.72,39.0728,68.5625,4864.64,1085.84,412403.053224787
39.5719,69.5844,5066.93,1110.9,41.5703,73.6225,4331.04,1351.98,407001.6291946749
36.9617,77.5408,5039.05,1222.74,40.685,77.9506,4048.94,1121.26,415529.5948220222
-34.3986,-69.5797,5009.09,1380.0,-31.1069,-67.4433,2794.37,1416.49,416965.4235252008
61.7317,-143.4383,4987.8,3588.03,62.9494,-151.0922,4396.96,1374.83,417338.29554914276
35.1544,68.4764,4962.85,1046.26,39.1756,68.98,4754.96,1406.08,449355.6071291328
35.1544,68.4764,4962.85,1046.26,39.0933,69.0186,4632.23,1060.57,440612.7973077964
35.1544,68.4764,4962.85,1046.26,39.0728,68.5625,4864.64,1085.84,435772.8075436163
35.1544,68.4764,4962.85,1046.26,38.6978,70.1533,3507.9,1191.22,421238.13239600824
35.1544,68.4764,4962.85,1046.26,38.7597,69.5297,3588.29,1033.14,411660.9567349168
43.5258,86.1203,4957.76,1023.72,45.1936,90.9055,3313.66,2072.49,423124.9954001054
-34.9186,-69.9942,4924.76,1531.7,-33.0622,-66.2069,2224.75,1321.47,405575.11853770254
8.5494,-70.9964,4877.42,3854.0,9.8706,-67.5153,1924.41,1401.01,409350.2946919048
27.2756,90.3778,4853.26,1454.07,25.1683,93.91,2689.85,1014.3,423107.61039207416
27.2756,90.3778,4853.26,1454.07,25.5975,94.0664,3019.2,1560.96,411915.1161425705
27.2756,90.3778,4853.26,1454.07,25.3569,93.8997,2838.24,1670.61,410746.55611732655
38.2669,47.8367,4805.46,3274.67,41.9594,46.3928,3569.0,1031.0,428534.5853136978
38.2669,47.8367,4805.46,3274.67,41.9594,46.9217,4131.0,1838.0,417887.0905421917
36.3753,50.9608,4775.25,1794.2,37.0933,55.6314,2565.48,1045.6,423754.13787683373
36.3753,50.9608,4775.25,1794.2,32.8817,52.4017,3320.3,1242.89,410216.0239370182
34.0386,69.9019,4754.71,2297.78,33.7503,74.4667,4732.84,1919.33,422509.22314345906
27.25,89.7044,4715.51,1602.21,25.5975,94.0664,3019.2,1560.96,471583.7317464513
43.1275,42.665,4642.25,1170.11,40.5222,38.1539,3104.88,1128.26,472791.44707386836
43.1275,42.665,4642.25,1170.11,40.3953,39.065,3323.63,1444.94,425895.5835989155
45.9425,7.8703,4542.39,2067.07,42.3792,8.9458,2669.49,2669.49,405391.13904508244
-28.2575,-66.0378,4526.01,2670.39,-31.9878,-64.9364,2786.06,2224.98,428093.7154047931
43.3075,86.4297,4513.8,1062.43,45.1936,90.9055,3313.66,2072.49,413514.2270105231
43.1947,42.5147,4441.38,1079.74,40.5222,38.1539,3104.88,1128.26,467578.81272572005
43.4628,86.4278,4382.07,1054.11,45.1936,90.9055,3313.66,2072.49,404756.4925189027
43.4628,86.4278,4382.07,1054.11,47.0489,85.5664,3832.71,3240.49,404408.8114813527
15.0433,-91.9036,4212.15,3976.07,16.2147,-96.1819,3724.69,2159.61,476275.4009175978
19.4942,-97.1475,4185.31,1312.19,16.765,-94.4517,2283.54,1495.74,416208.39102229074
36.5117,50.6986,4170.56,1182.94,37.0933,55.6314,2565.48,1045.6,443871.2006000196
-28.8672,-67.1269,4151.82,2911.39,-31.9878,-64.9364,2786.06,2224.98,405576.6289038782
43.4258,86.5297,4149.62,1051.71,47.0489,85.5664,3832.71,3240.49,409860.6930180775
-6.3108,147.09,4107.42,1696.88,-9.6661,149.0083,3668.56,2924.56,428724.2696856012
15.1325,-92.1083,4085.37,1056.55,16.2147,-96.1819,3724.69,2159.61,452403.4344749884
15.1325,-92.1083,4085.37,1056.55,16.5819,-95.8039,2826.46,1672.22,426869.3263909805
44.9225,6.3581,4021.1,1963.2,42.3833,2.1169,2906.19,1328.3,442778.8631013243
-78.0603,162.6883,4001.3,2169.83,-74.35,164.6908,2725.1,1748.72,415908.278201624
42.9203,42.5561,3988.66,1381.33,40.5222,38.1539,3104.88,1128.26,452215.23868756345
42.9203,42.5561,3988.66,1381.33,40.3953,39.065,3323.63,1444.94,403596.02874114184
6.4569,-76.1222,3944.16,2175.95,2.3797,-77.4325,3875.96,1850.63,476058.52821476205
47.0489,85.5664,3832.71,3240.49,43.3703,87.2631,3458.31,1017.09,430065.83993402164
43.2831,41.5067,3810.56,1029.45,40.5222,38.1539,3104.88,1128.26,413740.59959068353
-77.5297,167.1667,3788.36,3763.58,-73.4211,166.3017,3471.06,1980.53,457479.1920217683
-77.5297,167.1667,3788.36,3763.58,-80.8847,158.0264,2979.03,1018.22,417680.9168403579
-77.5297,167.1667,3788.36,3763.58,-73.9661,162.635,3752.65,1435.52,414926.2255223869
-3.6336,136.9231,3763.94,1353.43,-1.1558,133.9794,2946.82,2775.07,427607.194622772
7.1031,-75.9692,3752.9,1605.26,9.4744,-73.1981,2875.27,1383.03,403091.72226322023
-73.9661,162.635,3752.65,1435.52,-77.5106,168.5717,3283.53,1794.51,425867.2599218975
-75.7975,-115.8133,3593.64,2018.32,-73.4425,-126.7508,3195.14,3124.25,414402.2666921633
40.3953,39.065,3323.63,1444.94,43.9972,39.9292,2800.19,1309.2,406783.6335460009
-77.5106,168.5717,3283.53,1794.51,-74.1714,162.3808,3007.7,1024.14,407196.0616104046
42.9883,41.8683,3215.61,1097.36,40.5222,38.1539,3104.88,1128.26,412388.84849294793
43.7972,40.2111,3211.19,1299.45,40.5222,38.1539,3104.88,1128.26,401670.74309367454
46.2897,11.8303,3137.15,1219.9,42.8244,13.275,2474.11,1460.44,401946.4407790383
40.5222,38.1539,3104.88,1128.26,43.9972,39.9292,2800.19,1309.2,413071.7341117187
40.5222,38.1539,3104.88,1128.26,42.8747,41.9061,2785.31,1074.97,406709.85841159767
40.5222,38.1539,3104.88,1128.26,43.2483,41.3983,2964.67,1093.42,404928.5731584856
