latitude,longitude,jut_m,jut_height_m,jut_angle_deg,jut_base_latitude,jut_base_longitude,dominance_m,dominance_base_latitude,dominance_base_longitude,elevation_m,prominence_m,key_col_latitude,key_col_longitude
29.7664,82.7503,1307.883149,1691.101926,50.65938942,29.75648568,82.74174567,5029.637927,29.63817756,81.87262563,6838.68,1682.82,28.9247,83.5469
52.2472,-117.9578,1307.607306,2079.80434,38.95549162,52.26979384,-117.9673111,2874.123722,52.07306279,-118.5631637,3622.13,1468.98,52.1664,-117.6219
10.8389,-73.6861,1293.669474,2957.7908,25.93663866,10.88566634,-73.65674193,5528.893567,11.22064811,-73.69474067,5697.91,5506.06,10.8011,-72.9269
39.1981,68.1953,1290.470876,2227.703256,35.40013637,39.22598642,68.20170431,4433.122396,39.98515266,68.07611983,5457.35,2235.05,39.1736,69.5206
31.6836,69.9367,1285.770802,1808.862653,45.30144911,31.68903135,69.91892381,3072.460835,31.71409435,70.30942146,3401.18,1775.06,30.6758,68.9028
30.3433,93.9131,1283.377675,2079.126101,38.11689094,30.35780446,93.89083798,4272.073158,29.82385933,95.24818088,6718.33,1436.79,30.3111,93.8544
30.9519,51.4361,1280.105201,2040.621391,38.8520449,30.93748731,51.41390994,3357.84849,30.64077378,50.72103936,4402.27,2589.59,34.9414,48.0217
15.0433,-91.9036,1278.961419,2958.709208,25.61171061,14.99950118,-91.9389851,4064.176003,14.73027609,-92.08020026,4212.15,3976.07,16.6989,-94.9994
-68.8275,-90.6317,1270.725509,1500.718059,57.85938271,-68.82220815,-90.61280224,1638.030492,-68.82571158,-90.70928131,1639.08,1639.08,0,0
-67.3731,164.7556,1269.820894,1932.146462,41.08723711,-67.3661289,164.8041943,2103.355113,-67.35885255,164.8303353,2171.67,2171.67,0,0
43.7897,88.4111,1268.547477,1785.386875,45.27698405,43.8057774,88.41110325,4600.301183,44.19169364,88.19550759,5337.77,4014.31,42.6844,95.5558
2.3797,-77.4325,1266.331534,2400.413192,31.83988607,2.406827698,-77.45445963,3805.822739,2.475009829,-77.65658056,3875.96,1850.63,2.8131,-76.8817
28.3564,100.3567,1263.922434,2048.926376,38.08796721,28.33301528,100.3594152,4182.92,27.95168044,100.5019778,5939.03,1782.72,28.5633,100.1936
